,Host,Isolate Name,Isolation Date,State,Subtype
452,IRD:Avian,A/mallard/Iowa/10OS2752/2010,2010-10-17 00:00:00,Iowa,H11N9
453,IRD:Gull/Avian,A/glaucous-winged gull/Southeastern Alaska/10JR01700R0/2010,2010-09-08 00:00:00,Southeastern Alaska,H16N3
454,IRD:Mallard/Avian,A/mallard/Ohio/11OS1966/2011,2011-08-01 00:00:00,Ohio,H10N3
455,IRD:Mallard/Avian,A/mallard/Minnesota/AI08-5469/2008,2008-09-25 00:00:00,Minnesota,H7N3
456,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM10051R0/2009,2009-08-15 00:00:00,Interior Alaska,H3N8
457,IRD:Mallard/Avian,A/mallard/Illinois/08OS2315/2008,2008-10-25 00:00:00,Illinois,H4N6
458,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM11317R0/2009,2009-08-18 00:00:00,Interior Alaska,H10N7
459,IRD:Avian,A/American black duck/New Brunswick/00472/2010,2010-08-12 00:00:00,New Brunswick,H4N6
460,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM04623R0/2010,2010-07-18 00:00:00,Interior Alaska,H4N6
461,IRD:Mallard/Avian,A/mallard/Minnesota/AI09-3228/2009,2009-09-08 00:00:00,Minnesota,H3N1
462,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM8815R0/2009,2009-08-11 00:00:00,Interior Alaska,H4N6
463,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM11556R0/2009,2009-08-19 00:00:00,Interior Alaska,H8N4
464,IRD:Mallard/Avian,A/mallard/California/9704/2008,2008-12-07 00:00:00,California,H10N7
465,IRD:American Green-winged Teal/Avian,A/American green-winged teal/Interior Alaska/9BM6223R0/2009,2009-08-03 00:00:00,Interior Alaska,H10N7
466,IRD:Avian,A/mallard/North Dakota/Sg-00737/2008,2008-09-05 00:00:00,North Dakota,H6N8
467,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM08489R0/2010,2010-08-04 00:00:00,Interior Alaska,H3N8
468,IRD:Green-Winged Teal/Avian,A/green-winged teal/California/00083/2009,2009-01-03 00:00:00,California,H10N7
469,IRD:Mallard/Avian,A/mallard/Illinois/08OS2710/2008,2008-10-26 00:00:00,Illinois,H10N7
470,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM12177R0/2010,2010-08-13 00:00:00,Interior Alaska,H3N8
471,IRD:Mallard/Avian,A/mallard/Wisconsin/2755/2009,2009-10-30 00:00:00,Wisconsin,H1N1
472,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Canada/3286/2011,2011-09-24 00:00:00,Canada,H3N8
473,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/03451/2009,2009-08-12 00:00:00,New Brunswick,H3N9
474,IRD:Avian,A/American green-winged teal/Wisconsin/2530/2009,2009-10-17 00:00:00,Wisconsin,H6N2
475,IRD:Avian,A/blue-winged teal/Nova Scotia/01002/2010,2010-09-20 00:00:00,Nova Scotia,H3N8
476,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI11-2098/2011,2011-05-24 00:00:00,New Jersey,H7N3
477,IRD:Northern Shoveler/Avian,A/northern shoveler/Interior Alaska/10BM16764R0/2010,2010-09-08 00:00:00,Interior Alaska,H9N2
478,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00546/2008,2008-06-01 00:00:00,New Jersey,H4N6
479,IRD:Northern Pintail/Avian,A/northern pintail/Wisconsin/4198/2009,2009-12-03 00:00:00,Wisconsin,H11N9
480,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Guatemala/CIP049-13/2010,2010-01-31 00:00:00,Guatemala,H5N4
481,IRD:Avian,A/mallard/New Jersey/AI09-6434/2009,2009-09-28 00:00:00,New Jersey,H6N2
482,IRD:Avian,A/mallard/New Jersey/AI09-5405/2009,2009-09-28 00:00:00,New Jersey,H6N2
483,IRD:Mallard/Avian,A/mallard/California/2550P/2011,2011-08-12 00:00:00,California,H3N8
484,IRD:Mallard/Avian,A/mallard/California/2584P/2011,2011-08-12 00:00:00,California,H4N9
485,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/00587/2010,2010-08-15 00:00:00,New Brunswick,H4N6
486,IRD:Mallard/Avian,A/mallard/California/5191/2009,2009-07-27 00:00:00,California,H5N2
487,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/00523/2010,2010-08-13 00:00:00,New Brunswick,H4N6
488,IRD:Avian,A/mallard/Interior Alaska/10BM02111R0/2010,2010-06-10 00:00:00,Interior Alaska,H12N5
489,IRD:Avian,A/blue-winged teal/North Dakota/Sg-00730/2008,2008-09-05 00:00:00,North Dakota,H10N7
490,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM11415R0/2010,2010-08-12 00:00:00,Interior Alaska,H3N8
491,IRD:Mallard/Avian,A/mallard/California/11100/2008,2008-12-06 00:00:00,California,H11N2
492,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM10166R0/2010,2010-08-08 00:00:00,Interior Alaska,H7N3
493,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM10234R0/2009,2009-08-16 00:00:00,Interior Alaska,H10N7
494,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM2259/2009,2009-07-11 00:00:00,Interior Alaska,H4N6
495,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM10861R0/2010,2010-08-10 00:00:00,Interior Alaska,H7N3
496,IRD:Duck/Avian,A/duck/SK/4612/2010,2010-12-12 00:00:00,SK,H5N3
497,IRD:Avian,A/blue-winged Teal/Minnesota/AI09-2389/2009,2009-08-04 00:00:00,Minnesota,H4N6
498,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00532/2008,2008-06-04 00:00:00,New Jersey,H1N5
499,IRD:Mallard/Avian,A/mallard/Iowa/3193/2009,2009-11-07 00:00:00,Iowa,H11N9
500,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/Delaware/AI09-769/2009,2009-05-28 00:00:00,Delaware,H1N7
501,IRD:Avian,A/green-winged teal/New Brunswick/03483/2009,2009-08-14 00:00:00,New Brunswick,H3N8
502,IRD:Green-Winged Teal/Avian,A/American green-winged teal/Illinois/3443/2009,2009-10-31 00:00:00,Illinois,(N9)
503,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Canada/3233/2011,2011-08-29 00:00:00,Canada,H3N8
504,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM09347R0/2010,2010-08-06 00:00:00,Interior Alaska,H7N3
505,IRD:Avian,A/northern shoveler/Interior Alaska/10BM05408R0/2010,2010-07-25 00:00:00,Interior Alaska,H4N6
506,IRD:Mallard/Avian,A/mallard/Wisconsin/3165/2009,2009-10-31 00:00:00,Wisconsin,H1N1
507,IRD:Mallard/Avian,A/mallard/California/2552V/2011,2011-08-12 00:00:00,California,H4N8
508,IRD:Avian,A/blue-winged Teal/Texas/AI09-3464/2009,2009-09-13 00:00:00,Texas,H4N8
509,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00527/2008,2008-05-23 00:00:00,New Jersey,H4N6
510,IRD:Green-Winged Teal/Avian,A/green-winged teal/California/8326/2008,2008-10-19 00:00:00,California,H1N2
511,IRD:Avian,A/common goldeneye/Wisconsin/10OS4202/2010,2010-12-02 00:00:00,Wisconsin,H7N6
512,IRD:Avian,A/blue-winged teal/North Dakota/Sg-00706/2008,2008-09-02 00:00:00,North Dakota,H4N6
513,IRD:Avian,A/mallard/Interior Alaska/9BM2398R0/2009,2009-07-13 00:00:00,Interior Alaska,H4N6
514,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM8237R0/2009,2009-08-09 00:00:00,Interior Alaska,H8N4
515,IRD:Mallard/Avian,A/mallard/Wisconsin/08OS2261/2008,2008-10-19 00:00:00,Wisconsin,H4N6
516,IRD:Avian,A/mallard/Wisconsin/10OS3171/2010,2010-10-30 00:00:00,Wisconsin,H7N3
517,IRD:Avian,A/northern shoveler/California/3046/2010,2010-11-24 00:00:00,California,H4N3
518,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM11419R0/2010,2010-08-12 00:00:00,Interior Alaska,H3N8
519,IRD:Avian,A/blue-winged teal/Iowa/10OS2411/2010,2010-09-18 00:00:00,Iowa,H3N8
520,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM12413R0/2010,2010-08-14 00:00:00,Interior Alaska,H8N4
521,IRD:Avian,A/mallard/Interior Alaska/10BM06835R0/2010,2010-07-31 00:00:00,Interior Alaska,H3N8
522,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM11311R0/2010,2010-08-12 00:00:00,Interior Alaska,H3N8
523,IRD:Avian,A/black scoter/New Brunswick/00014/2009,2009-05-02 00:00:00,New Brunswick,H7N6
524,IRD:Mallard/Avian,A/mallard/California/2549V/2011,2011-08-12 00:00:00,California,H3N8
525,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM11421R0/2010,2010-08-12 00:00:00,Interior Alaska,H3N8
526,IRD:Mallard/Avian,A/mallard/Wisconsin/11OS4493/2011,2011-11-20 00:00:00,Wisconsin,H1N3
527,IRD:Mallard/Avian,A/mallard/Alberta/35/2009,2009-08-19 00:00:00,Alberta,H2N3
528,IRD:Northern Shoveler/Avian,A/northern shoveler/Missouri/196/2009,2009-12-07 00:00:00,Missouri,H10N3
529,IRD:Mallard/Avian,A/mallard/California/5212/2009,2009-07-27 00:00:00,California,H5N2
530,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-961/2009,2009-05-22 00:00:00,New Jersey,H10N7
531,IRD:Hooded Merganser/Avian,A/hooded merganser/New Brunswick/03749/2009,2009-09-14 00:00:00,New Brunswick,H3N8
532,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/8BM2046R1/2008,2008-08-09 00:00:00,Interior Alaska,H8N4
533,IRD:Avian,A/mallard/Wisconsin/10OS1604/2010,2010-09-25 00:00:00,Wisconsin,H5N2
534,IRD:Avian,A/blue-winged teal/Prince Edward Island/00849/2010,2010-09-03 00:00:00,Prince Edward Island,H6N1
535,IRD:Avian,A/ring-necked duck/New Brunswick/03449/2009,2009-08-12 00:00:00,New Brunswick,H11N9
536,IRD:Duck/Avian,A/wood duck/Wisconsin/11OS3443/2011,2011-10-16 00:00:00,Wisconsin,H11N9
537,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Canada/3285/2011,2011-09-24 00:00:00,Canada,H3N8
538,IRD:Avian,A/northern pintail/Interior Alaska/10BM06524R0/2010,2010-07-30 00:00:00,Interior Alaska,H7N3
539,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00522/2008,2008-05-22 00:00:00,New Jersey,H3N7
540,IRD:Avian,A/blue-winged teal/Nova Scotia/00078/2010,2010-09-07 00:00:00,Nova Scotia,H3N8
541,IRD:Avian,A/mallard/Arkansas/AI09-5761/2009,2009-12-11 00:00:00,Arkansas,H2N3
542,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00536/2008,2008-05-28 00:00:00,New Jersey,H10N7
543,IRD:Avian,A/northern pintail/Interior Alaska/9BM12211R0/2009,2009-08-21 00:00:00,Interior Alaska,H3N8
544,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM10043R0/2009,2009-08-15 00:00:00,Interior Alaska,H10N7
545,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/324/2009,2009-05-20 00:00:00,Delaware,H1N1
546,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM1967/2009,2009-07-06 00:00:00,Interior Alaska,H4N6
547,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/395/2008,2008-05-17 00:00:00,Delaware,H4N6
548,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM10476R0/2010,2010-08-09 00:00:00,Interior Alaska,H7N3
549,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM10835R0/2009,2009-08-17 00:00:00,Interior Alaska,H4N6
550,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00513/2008,2008-05-28 00:00:00,New Jersey,H3N2
551,IRD:Mallard/Avian,A/mallard/Alberta/507/2008,2008-08-08 00:00:00,Alberta,H3N8
552,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Canada/3239/2011,2011-09-19 00:00:00,Canada,H4N6
553,IRD:Mallard/Avian,A/mallard/California/1335/2010,2010-08-03 00:00:00,California,H10N7
554,IRD:Mallard/Avian,A/mallard/Minnesota/AI09-2509/2009,2009-09-06 00:00:00,Minnesota,H6N1
555,IRD:Mallard/Avian,A/mallard/Wisconsin/1534/2009,2009-08-18 00:00:00,Wisconsin,H6N8
556,IRD:Avian,A/northern shoveler/California/3483/2010,2010-12-08 00:00:00,California,H12N5
557,IRD:Avian,A/snow goose/Nunavet/03438/2010,2010-07-20 00:00:00,Nunavut,H3N8
558,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM1856/2009,2009-07-02 00:00:00,Interior Alaska,H4N6
559,IRD:Mallard/Avian,A/mallard/Interior Alaska/8BM3584R1/2008,2008-09-14 00:00:00,Interior Alaska,H8N4
560,IRD:Mallard/Avian,A/mallard/Interior Alaska/8BM3627R1/2008,2008-09-16 00:00:00,Interior Alaska,H4N6
561,IRD:Avian,A/mallard/California/2420/2010,2010-10-23 00:00:00,California,H10N7
562,IRD:Avian,A/blue-winged teal/New Brunswick/00774/2010,2010-08-25 00:00:00,New Brunswick,H3N8
563,IRD:Shorebird/Avian,A/shorebird/Delaware/318/2009,2009-05-20 00:00:00,Delaware,H1N1
564,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM10111R0/2009,2009-08-15 00:00:00,Interior Alaska,H3N8
565,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/8BM3088/2008,2008-08-18 00:00:00,Interior Alaska,H8N4
566,IRD:Northern Shoveler/Avian,A/northern shoveler/Minnesota/Sg-00651/2008,2008-07-31 00:00:00,Minnesota,H1N1
567,IRD:Mallard/Avian,A/mallard/California/2576P/2011,2011-08-12 00:00:00,California,H3N8
568,IRD:Avian,A/mallard/New Brunswick/00339/2010,2010-08-08 00:00:00,New Brunswick,H1N1
569,IRD:Northern Shoveler/Avian,A/northern shoveler/Wisconsin/10OS3226/2010,2010-11-10 00:00:00,Wisconsin,H7N3
570,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00488/2008,2008-05-18 00:00:00,New Jersey,H12N5
571,IRD:Avian,A/blue-winged teal/Illinois/10OS1561/2010,2010-09-04 00:00:00,Illinois,H4N6
572,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM7895R0/2009,2009-08-08 00:00:00,Interior Alaska,H10N7
573,IRD:Mallard/Avian,A/mallard/Minnesota/Sg-00627/2008,2008-07-29 00:00:00,Minnesota,H1N1
574,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-846/2009,2009-05-26 00:00:00,New Jersey,H1N1
575,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM10853R0/2010,2010-08-10 00:00:00,Interior Alaska,H7N3
576,IRD:Avian,A/mallard/California/2529/2010,2010-10-23 00:00:00,California,H6N1
577,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM9383R0/2009,2009-08-12 00:00:00,Interior Alaska,H10N7
578,IRD:Avian,A/northern pintail/Interior Alaska/10BM08920R0/2010,2010-08-05 00:00:00,Interior Alaska,H3N8
579,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/588/2008,2008-05-18 00:00:00,Delaware,H4N6
580,IRD:Avian,A/northern pintail/Interior Alaska/9BM12190R0/2009,2009-08-21 00:00:00,Interior Alaska,H4N6
581,IRD:Mallard/Avian,A/mallard/Ohio/1690/2009,2009-08-10 00:00:00,Ohio,H6N1
582,IRD:Gull/Avian,A/gull/Delaware/428/2009,2009-05-21 00:00:00,Delaware,H1N1
583,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM07399R0/2010,2010-08-02 00:00:00,Interior Alaska,H7N3
584,IRD:Avian,A/American wigeon/Missouri/10OS4752/2010,2010-12-12 00:00:00,Missouri,H6N1
585,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-837/2009,2009-05-29 00:00:00,New Jersey,H1N9
586,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00498/2008,2008-05-17 00:00:00,New Jersey,H10N7
587,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/03398/2009,2009-08-09 00:00:00,New Brunswick,H3N8
588,IRD:Avian,A/mallard/Missouri/10MO0253/2010,2010-11-16 00:00:00,Missouri,H1N2
589,IRD:Avian,A/blue-winged teal/Wisconsin/2741/2009,2009-10-17 00:00:00,Wisconsin,H4N6
590,IRD:Avian,A/American green-winged teal/Interior Alaska/9BM12318R0/2009,2009-09-02 00:00:00,Interior Alaska,H3N8
591,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM07120R0/2010,2010-08-01 00:00:00,Interior Alaska,H7N3
592,IRD:Avian,A/American black duck/New Brunswick/00909/2010,2010-09-14 00:00:00,New Brunswick,H10N7
593,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-1164/2009,2009-05-30 00:00:00,New Jersey,H11N9
594,IRD:Mallard/Avian,A/mallard/California/1492/2010,2010-08-10 00:00:00,California,H6N4
595,IRD:Mallard/Avian,A/mallard/Ohio/11OS2149/2011,2011-08-15 00:00:00,Ohio,H2N3
596,IRD:Avian,A/gadwall/Iowa/10OS2753/2010,2010-10-17 00:00:00,Iowa,H3N8
597,IRD:Shorebird/Avian,A/shorebird/Delaware/170/2009,2009-05-20 00:00:00,Delaware,H1N1
598,IRD:Avian,A/mallard/New Jersey/Sg-00941/2008,2008-09-21 00:00:00,New Jersey,H4N6
599,IRD:Avian,A/northern pintail/Interior Alaska/10BM02561R0/2010,2010-06-22 00:00:00,Interior Alaska,H12N5
600,IRD:Avian,A/green-winged teal/Nova Scotia/00354/2010,2010-08-08 00:00:00,Nova Scotia,H3N8
601,IRD:Avian,A/mallard/Minnesota/Sg-00620/2008,2008-07-29 00:00:00,Minnesota,H1N1
602,IRD:Avian,A/American black duck/New Brunswick/00886/2010,2010-09-13 00:00:00,New Brunswick,H4N9
603,IRD:Avian,A/mallard/Minnesota/Sg-01040/2008,2008-09-14 00:00:00,Minnesota,H3N2
604,IRD:Avian,A/northern shoveler/Minnesota/Sg-00612/2008,2008-07-29 00:00:00,Minnesota,H10N7
605,IRD:Avian,A/blue-winged teal/Minnesota/Sg-00799/2008,2008-09-01 00:00:00,Minnesota,H4N6
606,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-305/2009,2009-05-11 00:00:00,New Jersey,H10N7
607,IRD:Black Scoter/Avian,A/black scoter/New Brunswick/00002/2009,2009-05-02 00:00:00,New Brunswick,H3N8
608,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM9955R0/2009,2009-08-15 00:00:00,Interior Alaska,H8N4
609,IRD:Northern Shoveler/Avian,A/northern shoveler/Illinois/08OS3331/2008,2008-11-15 00:00:00,Illinois,H4N8
610,IRD:Mallard/Avian,A/mallard/Ohio/11OS2240/2011,2011-08-19 00:00:00,Ohio,H6N1
611,IRD:American Black Duck/Avian,A/American black duck/Wisconsin/2542/2009,2009-10-05 00:00:00,Wisconsin,H4N2
612,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM05247R0/2010,2010-07-23 00:00:00,Interior Alaska,H4N6
613,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Guatemala/CIP049-11/2009,2009-11-11 00:00:00,Guatemala,H11N2
614,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/Delaware/Sg-00470/2008,2008-05-21 00:00:00,Delaware,H4N6
615,IRD:Avian,A/mallard/Interior Alaska/10BM05860R0/2010,2010-07-26 00:00:00,Interior Alaska,H7N3
616,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM07458R0/2010,2010-08-02 00:00:00,Interior Alaska,H7N3
617,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/00608/2010,2010-08-16 00:00:00,New Brunswick,H3N8
618,IRD:Avian,A/northern pintail/Interior Alaska/10BM05034R0/2010,2010-07-21 00:00:00,Interior Alaska,H3N6
619,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Canada/3237/2011,2011-09-19 00:00:00,Canada,H4N6
620,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-573/2009,2009-05-29 00:00:00,New Jersey,H1N1
621,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Canada/3304/2011,2011-09-25 00:00:00,Canada,H4N6
622,IRD:Mallard/Avian,A/mallard/Wisconsin/2719/2009,2009-10-17 00:00:00,Wisconsin,H4N2
623,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/792/2009,2009-06-04 00:00:00,Delaware,H10N7
624,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/00558/2010,2010-08-14 00:00:00,New Brunswick,H3N8
625,IRD:American Green-winged Teal/Avian,A/American green-winged teal/Interior Alaska/9BM6222R0/2009,2009-08-03 00:00:00,Interior Alaska,H10N7
626,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM12388R0/2009,2009-09-02 00:00:00,Interior Alaska,H3N8
627,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM10807R0/2010,2010-08-10 00:00:00,Interior Alaska,H7N3
628,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Prince Edward Island/03912/2009,2009-08-19 00:00:00,Prince Edward Island,H3N8
629,IRD:Mallard/Avian,A/mallard/Illinois/4162/2009,2009-11-30 00:00:00,Illinois,H11N2
630,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM10906R0/2010,2010-08-10 00:00:00,Interior Alaska,H7N3
631,IRD:Mallard/Avian,A/mallard/California/5359/2009,2009-08-04 00:00:00,California,H5N2
632,IRD:Avian,A/American black duck/New Brunswick/00949/2010,2010-09-15 00:00:00,New Brunswick,H4N6
633,IRD:Avian,A/American green-winged teal/Illinois/10OS1598/2010,2010-09-05 00:00:00,Illinois,H4N8
634,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM7240R0/2009,2009-08-06 00:00:00,Interior Alaska,H8N4
635,IRD:Avian,A/mallard/Minnesota/Sg-00616/2008,2008-07-29 00:00:00,Minnesota,H4N8
636,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/342/2009,2009-05-20 00:00:00,Delaware,H10N1
637,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM11787R0/2009,2009-08-19 00:00:00,Interior Alaska,H3N7
638,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM12603R0/2010,2010-08-14 00:00:00,Interior Alaska,H3N8
639,IRD:Mallard/Avian,A/mallard/Alberta/417/2009,2009-08-22 00:00:00,Alberta,H2N3
640,IRD:Avian,A/northern pintail/Interior Alaska/9BM12180R0/2009,2009-08-20 00:00:00,Interior Alaska,H3N8
641,IRD:Mallard/Avian,A/mallard/California/5276/2009,2009-07-29 00:00:00,California,H5N2
642,IRD:Mallard/Avian,A/mallard/California/5255/2009,2009-07-28 00:00:00,California,H3N8
643,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM11409R0/2009,2009-08-18 00:00:00,Interior Alaska,H12N5
644,IRD:Avian,A/mallard/New Brunswick/00854/2010,2010-09-13 00:00:00,New Brunswick,H4N6
645,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/8BM2528R1/2008,2008-08-13 00:00:00,Interior Alaska,H3N8
646,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00480/2008,2008-05-18 00:00:00,New Jersey,H4N6
647,IRD:Avian,A/American black duck/New Brunswick/00952/2010,2010-09-15 00:00:00,New Brunswick,(H4)
648,IRD:American Black Duck/Avian,A/American black duck/New Brunswick/00520/2010,2010-08-12 00:00:00,New Brunswick,H4N6
649,IRD:Mallard/Avian,A/mallard/Alberta/289/2009,2009-08-20 00:00:00,Alberta,H2N9
650,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/10BM08586R0/2010,2010-08-04 00:00:00,Interior Alaska,H7N3
651,IRD:Avian,A/mallard/Minnesota/Sg-00672/2008,2008-08-03 00:00:00,Minnesota,H3N8
652,IRD:Mallard/Avian,A/mallard/Ohio/2043/2009,2009-08-03 00:00:00,Ohio,H6N1
653,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Wisconsin/11OS2873/2011,2011-09-24 00:00:00,Wisconsin,H3N2
654,IRD:Avian,A/American black duck/New Brunswick/00621/2010,2010-08-16 00:00:00,New Brunswick,(N6)
655,IRD:American Wigeon/Avian,A/American wigeon/California/6610/2008,2008-11-08 00:00:00,California,H12N5
656,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM7632R0/2009,2009-08-08 00:00:00,Interior Alaska,H4N6
657,IRD:Mallard/Avian,A/mallard/California/5319/2009,2009-07-23 00:00:00,California,H5N2
658,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM10146R0/2009,2009-08-15 00:00:00,Interior Alaska,H3N1
659,IRD:Avian,A/American green-winged teal/Interior Alaska/9BM6410R0/2009,2009-08-03 00:00:00,Interior Alaska,H3N8
660,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM10095R0/2009,2009-08-15 00:00:00,Interior Alaska,H4N6
661,IRD:Avian,A/mallard/Illinois/10OS3786/2010,2010-11-27 00:00:00,Illinois,H10N7
662,IRD:Mallard/Avian,A/mallard/California/11353/2008,2008-12-13 00:00:00,California,H10N2
663,IRD:Northern Shoveler/Avian,A/northern shoveler/Minnesota/Sg-00655/2008,2008-07-31 00:00:00,Minnesota,H1N1
664,IRD:Mallard/Avian,A/mallard/Ohio/10OS1467/2010,2010-08-18 00:00:00,Ohio,H3N2
665,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00502/2008,2008-05-17 00:00:00,New Jersey,H4N6
666,IRD:Murre/Avian,A/thick-billed murre/Canada/1813/2011,2011-07-20 00:00:00,Canada,H12N5
667,IRD:Avian,A/American black duck/New Brunswick/00619/2010,2010-08-16 00:00:00,New Brunswick,H3N6
668,IRD:Avian,A/American black duck/New Brunswick/00687/2010,2010-08-09 00:00:00,New Brunswick,H3N8
669,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/257/2009,2009-05-20 00:00:00,Delaware,H11N8
670,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00528/2008,2008-05-28 00:00:00,New Jersey,H10N7
671,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/132/2009,2009-05-20 00:00:00,Delaware,H10N7
672,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/9BM7696R0/2009,2009-08-08 00:00:00,Interior Alaska,H10N7
673,IRD:Avian,A/northern pintail/Interior Alaska/9BM12176R0/2009,2009-08-20 00:00:00,Interior Alaska,H3N8
674,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/Delaware/Sg-00474/2008,2008-05-21 00:00:00,Delaware,H10N7
675,IRD:Avian,A/mallard/Minnesota/AI09-1851/2009,2009-07-28 00:00:00,Minnesota,H10N5
676,IRD:Avian,A/northern shoveler/Interior Alaska/10BM05649R0/2010,2010-07-26 00:00:00,Interior Alaska,H3N8
