,Sink,Source,Time Class,Time Delta,Transmission Type,Weight
405,A/mallard/Interior Alaska/9BM10369R0/2009,A/mallard/Interior Alaska/9BM10370R0/2009,Direct Transmission,0.0,Intra-Species,8.0
406,A/northern pintail/Interior Alaska/9BM12186R0/2009,A/mallard/Interior Alaska/9BM9683R2/2009,Direct Transmission,7.0,Inter-Species,8.0
407,A/mallard/Interior Alaska/9BM12204R0/2009,A/mallard/Interior Alaska/9BM9683R2/2009,Direct Transmission,7.0,Intra-Species,8.0
408,A/mallard/Interior Alaska/9BM12198R0/2009,A/mallard/Interior Alaska/9BM9683R2/2009,Direct Transmission,7.0,Intra-Species,8.0
409,A/northern pintail/Interior Alaska/9BM12190R0/2009,A/mallard/Interior Alaska/9BM9683R2/2009,Direct Transmission,7.0,Inter-Species,8.0
410,A/blue-winged Teal/North Dakota/AI09-3131/2009,A/blue-winged teal/Louisiana/AI09-4180/2009,Direct Transmission,-2.0,Inter-Species,7.863325
411,A/mallard/Michigan/10OS1497/2010,A/mallard/Ohio/10OS1469/2010,Direct Transmission,2.0,Intra-Species,7.958507000000001
412,A/mallard/Ohio/10OS1467/2010,A/mallard/Ohio/10OS1469/2010,Direct Transmission,0.0,Intra-Species,7.998558
413,A/mallard/Ohio/10OS1470/2010,A/mallard/Ohio/10OS1469/2010,Direct Transmission,0.0,Intra-Species,7.998844
414,A/American black duck/New Brunswick/03509/2009,A/American black duck/New Brunswick/03398/2009,Environmental Persistence,32.0,Intra-Species,7.999425
415,A/ring-necked duck/New Brunswick/03400/2009,A/American black duck/New Brunswick/03398/2009,Direct Transmission,0.0,Inter-Species,7.998482000000001
416,A/American black duck/New Brunswick/03408/2009,A/American black duck/New Brunswick/03398/2009,Direct Transmission,1.0,Intra-Species,7.999136
417,A/mallard/Nova Scotia/03271/2009,A/American black duck/New Brunswick/03398/2009,Direct Transmission,-3.0,Inter-Species,7.998321000000002
418,A/northern pintail/Interior Alaska/9BM8907R0/2009,A/northern pintail/Interior Alaska/9BM10987R0/2009,Direct Transmission,-6.0,Intra-Species,7.998703
419,A/American black duck/Prince Edward Island/00673/2010,A/American black duck/Prince Edward Island/00672/2010,Direct Transmission,0.0,Intra-Species,7.999567999999999
420,A/northern pintail/Interior Alaska/10BM09832R0/2010,A/mallard/Interior Alaska/10BM10324R0/2010,Direct Transmission,-2.0,Inter-Species,7.998886
421,A/blue-winged teal/Guatemala/CIP049-14/2010,A/blue-winged teal/Guatemala/CIP049-06/2010,Direct Transmission,0.0,Intra-Species,7.992628999999999
422,A/laughing gull/New Jersey/AI09-218/2009,A/ruddy turnstone/New Jersey/AI09-151/2009,Direct Transmission,4.0,Inter-Species,7.9873569999999985
423,A/laughing gull/New Jersey/AI09-271/2009,A/ruddy turnstone/New Jersey/AI09-151/2009,Direct Transmission,4.0,Inter-Species,7.998483
424,A/shorebird/Delaware Bay/549/2009,A/ruddy turnstone/New Jersey/AI09-151/2009,Direct Transmission,10.0,Inter-Species,7.997503
425,A/mallard/Interior Alaska/9BM2256/2009,A/mallard/Interior Alaska/9BM2170/2009,Direct Transmission,1.0,Intra-Species,7.999547
426,A/mallard/Interior Alaska/9BM1949/2009,A/mallard/Interior Alaska/9BM2170/2009,Direct Transmission,-6.0,Intra-Species,7.999567999999999
427,A/mallard/Interior Alaska/9BM2243/2009,A/mallard/Interior Alaska/9BM2170/2009,Direct Transmission,1.0,Intra-Species,7.999093999999999
428,A/mallard/Interior Alaska/9BM2073/2009,A/mallard/Interior Alaska/9BM2170/2009,Direct Transmission,-1.0,Intra-Species,7.999115
429,A/mallard/Interior Alaska/9BM2252/2009,A/mallard/Interior Alaska/9BM2170/2009,Direct Transmission,1.0,Intra-Species,7.998963000000002
430,A/mallard/Interior Alaska/9BM1974/2009,A/mallard/Interior Alaska/9BM2170/2009,Direct Transmission,-4.0,Intra-Species,8.0
431,A/northern pintail/Interior Alaska/9BM6960R0/2009,A/northern pintail/Interior Alaska/9BM7368R0/2009,Direct Transmission,-2.0,Intra-Species,7.9933830000000015
432,A/northern pintail/Interior Alaska/9BM9153R0/2009,A/northern pintail/Interior Alaska/9BM7368R0/2009,Direct Transmission,5.0,Intra-Species,7.997714
433,A/northern pintail/Interior Alaska/10BM10805R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Inter-Species,7.996483
434,A/mallard/Interior Alaska/10BM10876R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Intra-Species,7.9966279999999985
435,A/northern pintail/Interior Alaska/10BM10790R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Inter-Species,7.995471999999999
436,A/northern pintail/Interior Alaska/10BM11208R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,17.0,Inter-Species,7.99703
437,A/northern pintail/Interior Alaska/10BM09347R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,12.0,Inter-Species,7.9963820000000005
438,A/mallard/Interior Alaska/10BM05860R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,1.0,Intra-Species,8.0
439,A/mallard/Interior Alaska/10BM10859R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Intra-Species,7.9966279999999985
440,A/northern pintail/Interior Alaska/10BM09348R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,12.0,Inter-Species,7.9963820000000005
441,A/northern pintail/Interior Alaska/10BM10807R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Inter-Species,7.9969160000000015
442,A/northern pintail/Interior Alaska/10BM10853R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Inter-Species,7.9966279999999985
443,A/mallard/Interior Alaska/10BM09818R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,13.0,Intra-Species,7.997846000000001
444,A/northern pintail/Interior Alaska/10BM09832R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,13.0,Inter-Species,7.995238
445,A/northern pintail/Interior Alaska/10BM10801R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Inter-Species,7.996483
446,A/northern pintail/Interior Alaska/10BM10809R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Inter-Species,7.9969160000000015
447,A/mallard/Interior Alaska/10BM10829R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Intra-Species,7.9966279999999985
448,A/mallard/Interior Alaska/10BM07072R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,7.0,Intra-Species,7.997527000000002
449,A/northern pintail/Interior Alaska/10BM08586R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,10.0,Inter-Species,7.997999
450,A/mallard/Interior Alaska/10BM10811R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Environmental Persistence,16.0,Intra-Species,7.9969160000000015
451,A/northern pintail/Interior Alaska/10BM08400R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,10.0,Inter-Species,7.997246
452,A/northern pintail/Interior Alaska/10BM09481R0/2010,A/mallard/Interior Alaska/10BM05347R0/2010,Direct Transmission,12.0,Inter-Species,7.997961
453,A/northern pintail/Interior Alaska/9BM8273R0/2009,A/northern pintail/Interior Alaska/9BM7694R0/2009,Direct Transmission,1.0,Intra-Species,7.999547
454,A/northern pintail/Interior Alaska/9BM7895R0/2009,A/northern pintail/Interior Alaska/9BM7688R0/2009,Direct Transmission,0.0,Intra-Species,7.9967190000000015
455,A/blue-winged teal/Nova Scotia/00121/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Inter-Species,8.0
456,A/mallard/Nova Scotia/00084/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Inter-Species,7.999567
457,A/American black duck/Nova Scotia/00091/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Intra-Species,7.998694
458,A/American black duck/Nova Scotia/00096/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Intra-Species,7.9995460000000005
459,A/American black duck/Nova Scotia/00086/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Intra-Species,7.998841
460,A/American black duck/Nova Scotia/00090/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Intra-Species,8.0
461,A/mallard/Interior Alaska/10BM12383R0/2010,A/mallard/Interior Alaska/10BM12370R0/2010,Direct Transmission,0.0,Intra-Species,7.998842999999999
462,A/mallard/Interior Alaska/10BM12352R0/2010,A/mallard/Interior Alaska/10BM12370R0/2010,Direct Transmission,0.0,Intra-Species,7.999351
463,A/mallard/Interior Alaska/10BM12351R0/2010,A/mallard/Interior Alaska/10BM12370R0/2010,Direct Transmission,0.0,Intra-Species,7.999425
464,A/mallard/Interior Alaska/10BM12350R0/2010,A/mallard/Interior Alaska/10BM12370R0/2010,Direct Transmission,0.0,Intra-Species,8.0
465,A/mallard/Interior Alaska/10BM12363R0/2010,A/mallard/Interior Alaska/10BM12370R0/2010,Direct Transmission,0.0,Intra-Species,8.0
466,A/mallard/Interior Alaska/10BM12374R0/2010,A/mallard/Interior Alaska/10BM12370R0/2010,Direct Transmission,0.0,Intra-Species,8.0
467,A/northern pintail/Interior Alaska/9BM11915R0/2009,A/northern pintail/Interior Alaska/9BM9989R0/2009,Direct Transmission,4.0,Intra-Species,7.9961259999999985
468,A/mallard/Interior Alaska/9BM8935R0/2009,A/northern pintail/Interior Alaska/9BM7799R0/2009,Direct Transmission,3.0,Inter-Species,7.996874000000001
469,A/shorebird/Delaware Bay/250/2009,A/shorebird/Delaware Bay/55/2009,Direct Transmission,5.0,Intra-Species,8.0
470,A/ruddy turnstone/New Jersey/AI09-305/2009,A/shorebird/Delaware Bay/55/2009,Direct Transmission,-4.0,Inter-Species,7.995084999999999
471,A/American black duck/New Brunswick/00619/2010,A/American black duck/New Brunswick/00618/2010,Direct Transmission,0.0,Intra-Species,7.997323
472,A/American black duck/New Brunswick/00620/2010,A/American black duck/New Brunswick/00618/2010,Direct Transmission,0.0,Intra-Species,8.0
473,A/American black duck/New Brunswick/00624/2010,A/American black duck/New Brunswick/00618/2010,Direct Transmission,0.0,Intra-Species,8.0
474,A/northern pintail/Interior Alaska/9BM11431R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,8.0,Intra-Species,7.996569999999998
475,A/northern pintail/Interior Alaska/9BM11325R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,8.0,Intra-Species,7.999567999999999
476,A/mallard/Interior Alaska/9BM8474R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,0.0,Inter-Species,8.0
477,A/northern pintail/Interior Alaska/9BM8464R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,0.0,Intra-Species,7.999136
478,A/mallard/Interior Alaska/9BM9755R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,4.0,Inter-Species,8.0
479,A/northern pintail/Interior Alaska/9BM10146R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,5.0,Intra-Species,8.0
480,A/northern pintail/Interior Alaska/9BM8459R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,0.0,Intra-Species,8.0
481,A/northern pintail/Interior Alaska/9BM9973R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,5.0,Intra-Species,8.0
482,A/northern pintail/Interior Alaska/9BM10525R2/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,6.0,Intra-Species,8.0
483,A/northern pintail/Interior Alaska/9BM8448R0/2009,A/northern pintail/Interior Alaska/9BM8502R0/2009,Direct Transmission,0.0,Intra-Species,8.0
484,A/northern pintail/Interior Alaska/10BM00849R2/2010,A/northern pintail/Interior Alaska/9BM8502R0/2009,Environmental Persistence,286.0,Intra-Species,7.9979359999999975
485,A/blue-winged teal/Louisiana/AI09-4180/2009,A/blue-winged Teal/North Dakota/AI09-3131/2009,Direct Transmission,2.0,Inter-Species,7.863325
486,A/blue-winged teal/Wisconsin/2741/2009,A/blue-winged Teal/North Dakota/AI09-3131/2009,Environmental Persistence,44.0,Inter-Species,7.787941
487,A/blue-winged teal/Prince Edward Island/00831/2010,A/blue-winged teal/New Brunswick/00600/2010,Environmental Persistence,18.0,Intra-Species,8.0
488,A/blue-winged teal/New Brunswick/00595/2010,A/blue-winged teal/New Brunswick/00600/2010,Direct Transmission,0.0,Intra-Species,7.995769
489,A/mallard/Interior Alaska/10BM09893R0/2010,A/mallard/Interior Alaska/10BM09896R0/2010,Direct Transmission,0.0,Intra-Species,7.998201
490,A/American wigeon/California/2423/2010,A/mallard/California/2529/2010,Direct Transmission,0.0,Inter-Species,7.9969709999999985
491,A/mallard/Illinois/4124/2009,A/ring-necked duck/Illinois/4125/2009,Direct Transmission,0.0,Inter-Species,8.0
492,A/mallard/Interior Alaska/9BM9201R0/2009,A/northern pintail/Interior Alaska/9BM11179R0/2009,Direct Transmission,-6.0,Inter-Species,7.99896
493,A/mallard/Interior Alaska/10CH00021R0/2010,A/northern pintail/Interior Alaska/10BM02585R0/2010,Environmental Persistence,74.0,Inter-Species,7.8393640000000016
494,A/northern pintail/Interior Alaska/10BM11694R0/2010,A/northern pintail/Interior Alaska/10BM11989R0/2010,Direct Transmission,0.0,Intra-Species,7.9954810000000025
495,A/northern pintail/Interior Alaska/9BM12464R0/2009,A/northern pintail/Interior Alaska/9BM9153R0/2009,Environmental Persistence,21.0,Intra-Species,7.990747
496,A/mallard/Interior Alaska/9BM11381R0/2009,A/northern pintail/Interior Alaska/9BM9153R0/2009,Direct Transmission,6.0,Inter-Species,7.993603
497,A/northern pintail/Interior Alaska/9BM7368R0/2009,A/northern pintail/Interior Alaska/9BM9153R0/2009,Direct Transmission,-5.0,Intra-Species,7.997714
498,A/mallard/Interior Alaska/9BM10047R0/2009,A/northern pintail/Interior Alaska/9BM9153R0/2009,Direct Transmission,3.0,Inter-Species,7.994889
499,A/northern pintail/Interior Alaska/9BM7052R0/2009,A/northern pintail/Interior Alaska/9BM9153R0/2009,Direct Transmission,-6.0,Intra-Species,7.9929770000000016
500,A/ruddy turnstone/New Jersey/AI09-961/2009,A/shorebird/Delaware Bay/343/2009,Direct Transmission,2.0,Inter-Species,7.9889870000000025
501,A/ruddy turnstone/Delaware/AI09-467/2009,A/shorebird/Delaware Bay/343/2009,Direct Transmission,8.0,Inter-Species,7.986594
502,A/northern pintail/Interior Alaska/9BM10238R0/2009,A/northern pintail/Interior Alaska/9BM10234R0/2009,Direct Transmission,0.0,Intra-Species,8.0
503,A/northern pintail/Interior Alaska/9BM11179R0/2009,A/northern pintail/Interior Alaska/9BM10234R0/2009,Direct Transmission,2.0,Intra-Species,7.999115
504,A/northern pintail/Interior Alaska/9BM10222R0/2009,A/northern pintail/Interior Alaska/9BM10234R0/2009,Direct Transmission,0.0,Intra-Species,8.0
505,A/northern pintail/Interior Alaska/9BM10218R0/2009,A/northern pintail/Interior Alaska/9BM10234R0/2009,Direct Transmission,0.0,Intra-Species,7.999547
506,A/northern pintail/Interior Alaska/9BM10224R0/2009,A/northern pintail/Interior Alaska/9BM10234R0/2009,Direct Transmission,0.0,Intra-Species,8.0
507,A/northern pintail/Interior Alaska/9BM10236R0/2009,A/northern pintail/Interior Alaska/9BM10234R0/2009,Direct Transmission,0.0,Intra-Species,8.0
508,A/northern pintail/Interior Alaska/9BM10244R0/2009,A/northern pintail/Interior Alaska/9BM10234R0/2009,Direct Transmission,0.0,Intra-Species,8.0
509,A/northern pintail/Interior Alaska/9BM10210R0/2009,A/northern pintail/Interior Alaska/9BM10234R0/2009,Direct Transmission,0.0,Intra-Species,8.0
510,A/mallard/Interior Alaska/10BM06454R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,0.0,Intra-Species,8.0
511,A/mallard/Interior Alaska/10BM06460R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,0.0,Intra-Species,7.998991
512,A/mallard/Interior Alaska/10BM06448R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,0.0,Intra-Species,8.0
513,A/mallard/Interior Alaska/10BM06459R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,0.0,Intra-Species,7.999567
514,A/mallard/Interior Alaska/10BM06456R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,0.0,Intra-Species,7.999414999999999
515,A/mallard/Interior Alaska/10BM07777R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,4.0,Intra-Species,8.0
516,A/mallard/Interior Alaska/10BM06452R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,0.0,Intra-Species,8.0
517,A/mallard/Interior Alaska/10BM06455R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,0.0,Intra-Species,7.999567
518,A/mallard/Interior Alaska/10BM06461R0/2010,A/mallard/Interior Alaska/10BM06450R0/2010,Direct Transmission,0.0,Intra-Species,8.0
519,A/northern pintail/Interior Alaska/10BM06899R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-2.0,Inter-Species,8.0
520,A/northern pintail/Interior Alaska/10BM07114R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-1.0,Inter-Species,8.0
521,A/mallard/Interior Alaska/10BM07092R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-1.0,Intra-Species,8.0
522,A/mallard/Interior Alaska/10BM06909R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-2.0,Intra-Species,7.9982349999999975
523,A/mallard/Interior Alaska/10BM07066R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-1.0,Intra-Species,7.997081
524,A/northern pintail/Interior Alaska/10BM07106R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-1.0,Inter-Species,7.998714
525,A/mallard/Interior Alaska/10BM08100R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,2.0,Intra-Species,7.9977839999999984
526,A/mallard/Interior Alaska/10BM06905R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-2.0,Intra-Species,8.0
527,A/mallard/Interior Alaska/10BM07085R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-1.0,Intra-Species,7.999414
528,A/northern pintail/Interior Alaska/10BM07737R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,1.0,Inter-Species,7.998127999999999
529,A/mallard/Interior Alaska/10BM06911R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-2.0,Intra-Species,8.0
530,A/northern pintail/Interior Alaska/10BM06524R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-3.0,Inter-Species,8.0
531,A/northern pintail/Interior Alaska/10BM06895R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,-2.0,Inter-Species,7.9991330000000005
532,A/northern pintail/Interior Alaska/10BM08705R0/2010,A/mallard/Interior Alaska/10BM07501R0/2010,Direct Transmission,3.0,Inter-Species,7.995617
533,A/American black duck/New Brunswick/00622/2010,A/American black duck/New Brunswick/00624/2010,Direct Transmission,0.0,Intra-Species,7.998849000000001
534,A/American black duck/New Brunswick/00618/2010,A/American black duck/New Brunswick/00624/2010,Direct Transmission,0.0,Intra-Species,8.0
535,A/American black duck/New Brunswick/00619/2010,A/American black duck/New Brunswick/00624/2010,Direct Transmission,0.0,Intra-Species,7.997323
536,A/American black duck/New Brunswick/00620/2010,A/American black duck/New Brunswick/00624/2010,Direct Transmission,0.0,Intra-Species,8.0
537,A/gull/Delaware/AI09-453/2009,A/gull/Delaware/AI09-438/2009,Direct Transmission,0.0,Intra-Species,7.999428
538,A/ruddy turnstone/New Jersey/AI09-626/2009,A/gull/Delaware/AI09-438/2009,Direct Transmission,-2.0,Inter-Species,7.991805999999999
539,A/ruddy turnstone/Delaware/AI09-1221/2009,A/gull/Delaware/AI09-438/2009,Direct Transmission,5.0,Inter-Species,7.997111999999999
540,A/northern pintail/Interior Alaska/9BM10819R0/2009,A/northern pintail/Interior Alaska/9BM11487R0/2009,Direct Transmission,-1.0,Intra-Species,7.993514
541,A/shorebird/Delaware Bay/226/2009,A/ruddy turnstone/New Jersey/AI09-525/2009,Direct Transmission,-6.0,Inter-Species,7.997101
542,A/mallard/Illinois/10OS2677/2010,A/blue-winged teal/Iowa/10OS2624/2010,Direct Transmission,14.0,Inter-Species,7.982403999999999
543,A/mallard/Interior Alaska/9BM6888R0/2009,A/mallard/Interior Alaska/9BM8287R0/2009,Direct Transmission,1.0,Intra-Species,7.9984850000000005
544,A/mallard/Minnesota/AI09-1669/2009,A/mallard/Minnesota/AI09-1666/2009,Direct Transmission,0.0,Intra-Species,7.998713
545,A/shorebird/Delaware Bay/257/2009,A/ruddy turnstone/New Jersey/AI09-169/2009,Direct Transmission,12.0,Inter-Species,7.977056
546,A/ruddy turnstone/New Jersey/AI09-194/2009,A/ruddy turnstone/New Jersey/AI09-169/2009,Direct Transmission,5.0,Intra-Species,7.975686
547,A/American black duck/New Brunswick/00610/2010,A/American black duck/New Brunswick/00469/2010,Direct Transmission,4.0,Intra-Species,7.918621000000001
548,A/northern pintail/Interior Alaska/9BM11387R0/2009,A/northern pintail/Interior Alaska/9BM12094R0/2009,Direct Transmission,-2.0,Intra-Species,7.999115
549,A/northern pintail/Interior Alaska/9BM9989R0/2009,A/northern pintail/Interior Alaska/9BM11915R0/2009,Direct Transmission,-4.0,Intra-Species,7.9961259999999985
550,A/northern pintail/Interior Alaska/10BM04722R0/2010,A/mallard/Interior Alaska/10BM04624R0/2010,Direct Transmission,0.0,Inter-Species,8.0
551,A/mallard/Interior Alaska/10BM04623R0/2010,A/mallard/Interior Alaska/10BM04624R0/2010,Direct Transmission,0.0,Intra-Species,8.0
552,A/northern pintail/Interior Alaska/10BM04668R0/2010,A/mallard/Interior Alaska/10BM04624R0/2010,Direct Transmission,0.0,Inter-Species,7.9985490000000015
553,A/blue-winged teal/Prince Edward Island/00844/2010,A/mallard/New Jersey/AI09-6426/2009,Environmental Persistence,340.0,Inter-Species,7.756128999999999
554,A/northern pintail/Interior Alaska/10BM07993R0/2010,A/mallard/Interior Alaska/10BM08828R0/2010,Direct Transmission,-2.0,Inter-Species,7.994075
555,A/mallard/Interior Alaska/10BM07971R0/2010,A/mallard/Interior Alaska/10BM02530R0/2010,Environmental Persistence,42.0,Intra-Species,7.990558
556,A/American black duck/New Brunswick/00473/2010,A/American black duck/New Brunswick/00472/2010,Direct Transmission,0.0,Intra-Species,7.921324999999999
557,A/green-winged teal/Prince Edward Island/00840/2010,A/green-winged teal/Prince Edward Island/00841/2010,Direct Transmission,0.0,Intra-Species,8.0
558,A/green-winged teal/Prince Edward Island/00838/2010,A/green-winged teal/Prince Edward Island/00841/2010,Direct Transmission,0.0,Intra-Species,8.0
559,A/green-winged teal/Prince Edward Island/00839/2010,A/green-winged teal/Prince Edward Island/00841/2010,Direct Transmission,0.0,Intra-Species,8.0
560,A/green-winged teal/Prince Edward Island/00841/2010,A/green-winged teal/Prince Edward Island/00838/2010,Direct Transmission,0.0,Intra-Species,8.0
561,A/green-winged teal/Prince Edward Island/00840/2010,A/green-winged teal/Prince Edward Island/00838/2010,Direct Transmission,0.0,Intra-Species,8.0
562,A/green-winged teal/Prince Edward Island/00839/2010,A/green-winged teal/Prince Edward Island/00838/2010,Direct Transmission,0.0,Intra-Species,8.0
563,A/ring-billed gull/Quebec/02622-1/2009,A/ruddy turnstone/New Jersey/AI09-294/2009,Environmental Persistence,70.0,Inter-Species,7.940741
564,A/American green-winged teal/Interior Alaska/10BM07917R0/2010,A/northern shoveler/Interior Alaska/10BM05638R0/2010,Direct Transmission,8.0,Inter-Species,7.898867
565,A/mallard/Interior Alaska/10BM12311R0/2010,A/mallard/Interior Alaska/10BM12179R0/2010,Direct Transmission,1.0,Intra-Species,7.999547
566,A/mallard/Interior Alaska/10BM12178R0/2010,A/mallard/Interior Alaska/10BM12179R0/2010,Direct Transmission,0.0,Intra-Species,8.0
567,A/mallard/Ohio/10OS1319/2010,A/northern pintail/Interior Alaska/9BM10749R0/2009,Environmental Persistence,350.0,Inter-Species,7.682946000000001
568,A/mallard/Minnesota/AI09-1684/2009,A/mallard/Minnesota/AI09-1678/2009,Direct Transmission,0.0,Intra-Species,7.99887
569,A/mallard/California/1353/2010,A/mallard/California/1305/2010,Direct Transmission,3.0,Intra-Species,7.9971869999999985
570,A/mallard/Nova Scotia/00084/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,7.999567
571,A/American black duck/Nova Scotia/00091/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,7.998694
572,A/American black duck/Nova Scotia/00092/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,8.0
573,A/American black duck/Nova Scotia/00086/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,7.998841
574,A/American black duck/Nova Scotia/00090/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,8.0
575,A/northern pintail/Interior Alaska/10BM10805R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,15.0,Inter-Species,7.996483
576,A/mallard/Interior Alaska/10BM10876R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,15.0,Intra-Species,7.9966279999999985
577,A/northern pintail/Interior Alaska/10BM10790R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,15.0,Inter-Species,7.995471999999999
578,A/northern pintail/Interior Alaska/10BM11208R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Environmental Persistence,16.0,Inter-Species,7.99703
579,A/northern pintail/Interior Alaska/10BM09347R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,11.0,Inter-Species,7.9963820000000005
580,A/northern pintail/Interior Alaska/10BM10801R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,15.0,Inter-Species,7.996483
581,A/mallard/Interior Alaska/10BM10859R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,15.0,Intra-Species,7.9966279999999985
582,A/northern pintail/Interior Alaska/10BM09348R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,11.0,Inter-Species,7.9963820000000005
583,A/northern pintail/Interior Alaska/10BM10807R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,15.0,Inter-Species,7.9969160000000015
584,A/northern pintail/Interior Alaska/10BM10853R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,15.0,Inter-Species,7.9966279999999985
585,A/mallard/Interior Alaska/10BM09818R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,12.0,Intra-Species,7.997846000000001
586,A/northern pintail/Interior Alaska/10BM09832R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,12.0,Inter-Species,7.995238
587,A/northern pintail/Interior Alaska/10BM10809R0/2010,A/mallard/Interior Alaska/10BM05860R0/2010,Direct Transmission,15.0,Inter-Species,7.9969160000000015
