Strain Name,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Country,Host Species,Collection Date,Subtype,Complete Genome
A/blue-winged teal/Nova Scotia/00121/2010,CY138287,CY138286,CY138285,CY138280,CY138283,CY138282,CY138281,CY138284,-N/A-,Canada,IRD:Teal/Avian,9/10/2010,H1N1,Yes
A/blue-winged teal/Nova Scotia/00126/2010,CY138295,CY138294,CY138293,CY138288,CY138291,CY138290,CY138289,CY138292,-N/A-,Canada,IRD:Teal/Avian,9/10/2010,H1N1,Yes
A/blue-winged teal/Nova Scotia/00296/2010,CY138014,CY138013,CY138012,CY138007,CY138010,CY138009,CY138008,CY138011,-N/A-,Canada,IRD:Teal/Avian,9/20/2010,(N8),Yes
A/blue-winged teal/Nova Scotia/01000/2010,CY138487,CY138486,CY138485,CY138480,CY138483,CY138482,CY138481,CY138484,-N/A-,Canada,IRD:Teal/Avian,9/20/2010,H6N1,Yes
A/blue-winged teal/Nova Scotia/01002/2010,CY138495,CY138494,CY138493,CY138488,CY138491,CY138490,CY138489,CY138492,-N/A-,Canada,IRD:Teal/Avian,9/20/2010,H3N8,Yes
A/blue-winged teal/Nova Scotia/01003/2010,CY138503,CY138502,CY138501,CY138496,CY138499,CY138498,CY138497,CY138500,-N/A-,Canada,IRD:Teal/Avian,9/20/2010,H6N1,Yes
A/blue-winged teal/Nova Scotia/01008/2010,CY138511,CY138510,CY138509,CY138504,CY138507,CY138506,CY138505,CY138508,-N/A-,Canada,IRD:Teal/Avian,9/20/2010,H4N6,Yes
A/blue-winged teal/Nova Scotia/01009/2010,CY138519,CY138518,CY138517,CY138512,CY138515,CY138514,CY138513,CY138516,-N/A-,Canada,IRD:Teal/Avian,9/20/2010,H4N6,Yes
A/blue-winged teal/Nova Scotia/01027/2010,CY138527,CY138526,CY138525,CY138520,CY138523,CY138522,CY138521,CY138524,-N/A-,Canada,IRD:Teal/Avian,9/22/2010,H3N8,Yes
A/blue-winged teal/Nova Scotia/03971/2009,CY125273*,CY125272*,CY125271*,CY125266*,CY125269*,CY125268*,CY125267*,CY125270*,-N/A-,Canada,IRD:Blue-Winged Teal/Avian,8/27/2009,H3N8,Yes
A/blue-winged teal/Prince Edward Island/00803/2010,CY138463,CY138462,CY138461,CY138456,CY138459,CY138458,CY138457,CY138460,-N/A-,Canada,IRD:Teal/Avian,9/1/2010,H3N8,Yes
A/blue-winged teal/Prince Edward Island/00831/2010,CY138471,CY138470,CY138469,CY138464,CY138467,CY138466,CY138465,CY138468,-N/A-,Canada,IRD:Teal/Avian,9/2/2010,H3N7,Yes
A/blue-winged teal/Prince Edward Island/00844/2010,CY138037,CY138036,CY138035,CY138030,CY138033,CY138032,CY138031,CY138034,-N/A-,Canada,IRD:Teal/Avian,9/3/2010,H4N9,Yes
A/blue-winged teal/Prince Edward Island/00849/2010,CY138479,CY138478,CY138477,CY138472,CY138475,CY138474,CY138473,CY138476,-N/A-,Canada,IRD:Teal/Avian,9/3/2010,H6N1,Yes
A/blue-winged teal/Prince Edward Island/03910/2009,CY125580,CY125579,CY125578,CY125573,CY125576,CY125575,CY125574,CY125577,-N/A-,Canada,IRD:Blue-Winged Teal/Avian,8/19/2009,H4N9,Yes
A/blue-winged teal/Prince Edward Island/03912/2009,CY125572,CY125571,CY125570,CY125565,CY125568,CY125567,CY125566,CY125569,-N/A-,Canada,IRD:Blue-Winged Teal/Avian,8/19/2009,H3N8,Yes
A/blue-winged teal/Prince Edward Island/03922/2009,CY125597,CY125596,CY125595,CY125589,CY125593,CY125591,CY125590,CY125594,-N/A-,Canada,IRD:Blue-Winged Teal/Avian,8/19/2009,(N8),Yes
A/blue-winged teal/Prince Edward Island/03927/2009,CY125292,CY125291,CY125290,CY125285,CY125288,CY125287,CY125286,CY125289,-N/A-,Canada,IRD:Blue-Winged Teal/Avian,8/19/2009,H3N8,Yes
A/blue-winged teal/Texas/AI09-4405/2009,CY140968,CY140967,CY140966,CY140961,CY140964,CY140963,CY140962,CY140965,Texas,USA,IRD:Teal/Avian,9/19/2009,H3N6,Yes
A/blue-winged teal/Texas/AI09-4463/2009,CY140976,CY140975,CY140974,CY140969,CY140972,CY140971,CY140970,CY140973,Texas,USA,IRD:Blue-Winged Teal/Avian,9/20/2009,H4N8,Yes
A/blue-winged teal/Texas/AI09-6182/2009,CY141072,CY141071,CY141070,CY141065,CY141068,CY141067,CY141066,CY141069,Texas,USA,IRD:Blue-Winged Teal/Avian,12/13/2009,H6N2,Yes
A/blue-winged teal/Wisconsin/10OS2862/2010,CY133108,CY133107,CY133106,CY133101,CY133104,CY133103,CY133102,CY133105,Wisconsin,USA,IRD:Teal/Avian,10/2/2010,H3N2,Yes
A/blue-winged teal/Wisconsin/10OS3092/2010,CY133152,CY133151,CY133150,CY133145,CY133148,CY133147,CY133146,CY133149,Wisconsin,USA,IRD:Teal/Avian,10/3/2010,H3N6,Yes
A/blue-winged teal/Wisconsin/2509/2009,CY097445,CY097444,CY097443,CY097438,CY097441,CY097440,CY097439,CY097442,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/3/2009,H1N2,Yes
A/blue-winged teal/Wisconsin/2572/2009,CY097001,CY097000,CY096999,CY096994,CY096997,CY096996,CY096995,CY096998,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/6/2009,H2N3,Yes
A/blue-winged teal/Wisconsin/2649/2009,CY097469,CY097468,CY097467,CY097462,CY097465,CY097464,CY097463,CY097466,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/17/2009,H6N1,Yes
A/blue-winged teal/Wisconsin/2665/2009,CY097477,CY097476,CY097475,CY097470,CY097473,CY097472,CY097471,CY097474,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/17/2009,H4N2,Yes
A/blue-winged teal/Wisconsin/2713/2009,CY097025,CY097024,CY097023,CY097018,CY097021,CY097020,CY097019,CY097022,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/17/2009,H4N2,Yes
A/blue-winged teal/Wisconsin/2720/2009,CY097493,CY097492,CY097491,CY097486,CY097489,CY097488,CY097487,CY097490,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/17/2009,H3N2,Yes
A/blue-winged teal/Wisconsin/2741/2009,CY097033,CY097032,CY097031,CY097026,CY097029,CY097028,CY097027,CY097030,Wisconsin,USA,IRD:Teal/Avian,10/17/2009,H4N6,Yes
A/blue-winged teal/Wisconsin/2753/2009,CY097049,CY097048,CY097047,CY097042,CY097045,CY097044,CY097043,CY097046,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/24/2009,H4N6,Yes
A/blue-winged teal/Wisconsin/2818/2009,CY097517,CY097516,CY097515,CY097510,CY097513,CY097512,CY097511,CY097514,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/3/2009,mixed,Yes
A/blue-winged teal/Wisconsin/3060/2009,CY097218,CY097217,CY097216,CY097211,CY097214,CY097213,CY097212,CY097215,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/17/2009,H3N2,Yes
A/blue-winged teal/Wisconsin/3061/2009,CY097228,CY097227,CY097226,CY097219,CY097223,CY097221,CY097220,CY097225,Wisconsin,USA,IRD:Blue-Winged Teal/Avian,10/17/2009,mixed,Yes
A/bufflehead/Illinois/4016/2009,CY096977,CY096976,CY096975,CY096970,CY096973,CY096972,CY096971,CY096974,Illinois,USA,IRD:Bufflehead/Avian,11/28/2009,H4N8,Yes
A/bufflehead/Wisconsin/10OS3204/2010,CY133116,CY133115,CY133114,CY133109,CY133112,CY133111,CY133110,CY133113,Wisconsin,USA,IRD:Bufflehead/Avian,11/7/2010,H12N5,Yes
A/bufflehead/Wisconsin/10OS3214/2010,CY133127,CY133126,CY133125,CY133117,CY133120,CY133119,CY133118,CY133122,Wisconsin,USA,IRD:Bufflehead/Avian,11/7/2010,mixed,Yes
A/cheetah/California/D0912239/2009,CY092750,CY092751,CY092752,CY092753,CY092754,CY092755,CY092756,CY092757,California,USA,IRD:null,9-Nov,H1N1,Yes
A/cinnamon teal/California/225/2011,CY134414,CY134413,CY134412,CY134407,CY134410,CY134409,CY134408,CY134411,California,USA,IRD:Cinnamon Teal/Avian,1/16/2011,H11N9,Yes
A/common goldeneye/Iowa/3192/2009,CY097073,CY097072,CY097071,CY097066,CY097069,CY097068,CY097067,CY097070,Iowa,USA,IRD:Common Goldeneye/Avian,11/7/2009,H11N9,Yes
A/common goldeneye/Wisconsin/10OS4202/2010,CY133136,CY133135,CY133134,CY133129,CY133132,CY133131,CY133130,CY133133,Wisconsin,USA,IRD:Common Goldeneye/Avian,12/2/2010,H7N6,Yes
A/environment/California/5807/2009,CY120538,CY120537,CY120536,CY120531,CY120534,CY120533,CY120532,CY120535,California,USA,IRD:Environment,8/31/2009,H4N6,Yes
A/environment/California/7451/2010,CY120546,CY120545,CY120544,CY120539,CY120542,CY120541,CY120540,CY120543,California,USA,IRD:Environment,2/28/2010,H7N3,Yes
A/environment/Indiana/10OS1500/2010,CY132680,CY132679,CY132678,CY132673,CY132676,CY132675,CY132674,CY132677,Indiana,USA,IRD:Environment,9/3/2010,H3N8,Yes
A/environment/Indiana/10OS1511/2010,CY132972,CY132971,CY132970,CY132965,CY132968,CY132967,CY132966,CY132969,Indiana,USA,IRD:Environment,9/3/2010,H4N8,Yes
A/environment/Indiana/3596/2009,CY097244,CY097243,CY097242,CY097237,CY097240,CY097239,CY097238,CY097241,Indiana,USA,IRD:Environment,11/13/2009,H5N2,Yes
A/environment/Indiana/3599/2009,CY097252,CY097251,CY097250,CY097245,CY097248,CY097247,CY097246,CY097249,Indiana,USA,IRD:Environment,11/13/2009,H5N2,Yes
A/environment/Indiana/3607/2009,CY097260,CY097259,CY097258,CY097253,CY097256,CY097255,CY097254,CY097257,Indiana,USA,IRD:Environment,11/13/2009,H5N2,Yes
A/environment/Indiana/3610/2009,CY097268,CY097267,CY097266,CY097261,CY097264,CY097263,CY097262,CY097265,Indiana,USA,IRD:Environment,11/13/2009,H5N2,Yes
A/gadwall/Illinois/10OS3342/2010,CY132988,CY132987,CY132986,CY132981,CY132984,CY132983,CY132982,CY132985,Illinois,USA,IRD:Gadwall/Avian,10/30/2010,H6N1,Yes
A/gadwall/Illinois/10OS3384/2010,CY133012,CY133011,CY133010,CY133005,CY133008,CY133007,CY133006,CY133009,Illinois,USA,IRD:Gadwall/Avian,10/30/2010,H11N2,Yes
A/gadwall/Illinois/3860/2009,CY097525,CY097524,CY097523,CY097518,CY097521,CY097520,CY097519,CY097522,Illinois,USA,IRD:Gadwall/Avian,11/15/2009,H6N1,Yes
A/gadwall/Iowa/10OS2753/2010,CY133479,CY133478,CY133477,CY133472,CY133475,CY133474,CY133473,CY133476,Iowa,USA,IRD:Gadwall/Avian,10/17/2010,H3N8,Yes
A/gadwall/Mississippi/10OS4531/2010,CY133289,CY133288,CY133287,CY133282,CY133285,CY133284,CY133283,CY133286,Mississippi,USA,IRD:Gadwall/Avian,12/11/2010,H6N2,Yes
A/gadwall/Missouri/10MO0280/2010,CY133816,CY133815,CY133814,CY133809,CY133812,CY133811,CY133810,CY133813,Missouri,USA,IRD:Gadwall/Avian,11/16/2010,H5N2,Yes
A/gadwall/Missouri/10MO095/2010,CY133800,CY133799,CY133798,CY133793,CY133796,CY133795,CY133794,CY133797,Missouri,USA,IRD:Gadwall/Avian,11/16/2010,H6N1,Yes
A/gadwall/Missouri/10OS4731/2010,CY133415,CY133414,CY133413,CY133408,CY133411,CY133410,CY133409,CY133412,Missouri,USA,IRD:Gadwall/Avian,12/12/2010,H7N3,Yes
A/gadwall/Nova Scotia/00783/2010,CY139270,CY139269,CY139268,CY139263,CY139266,CY139265,CY139264,CY139267,-N/A-,Canada,IRD:Gadwall/Avian,9/7/2010,H3N8,Yes
A/gadwall/Nova Scotia/00786/2010,CY139278,CY139277,CY139276,CY139271,CY139274,CY139273,CY139272,CY139275,-N/A-,Canada,IRD:Gadwall/Avian,9/7/2010,H3N8,Yes
A/glaucous-winged gull/Southeastern Alaska/10JR01572R0/2010,CY130500,CY130499,CY130498,CY130493,CY130496,CY130495,CY130494,CY130497,Unknown,USA,IRD:Gull/Avian,8/13/2010,H16N3,Yes
A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010,CY130508,CY130507,CY130506,CY130501,CY130504,CY130503,CY130502,CY130505,Unknown,USA,IRD:Gull/Avian,9/8/2010,H16N3,Yes
A/glaucous-winged gull/Southeastern Alaska/10JR01700R0/2010,CY130516,CY130515,CY130514,CY130509,CY130512,CY130511,CY130510,CY130513,Unknown,USA,IRD:Gull/Avian,9/8/2010,H16N3,Yes
A/glaucous-winged gull/Southeastern Alaska/10JR01811R0/2010,CY130524,CY130523,CY130522,CY130517,CY130520,CY130519,CY130518,CY130521,Unknown,USA,IRD:Gull/Avian,9/9/2010,H16N3,Yes
A/glaucous-winged gull/Southeastern Alaska/10JR01856R0/2010,CY125749,CY125748,CY125747,CY125742,CY125745,CY125744,CY125743,CY125746,Unknown,USA,IRD:Gull/Avian,9/9/2010,H11N9,Yes
A/glaucous-winged gull/Southeastern Alaska/9JR0822R0/2009,CY130347,CY130346,CY130345,CY130340,CY130343,CY130342,CY130341,CY130344,Unknown,USA,IRD:Gull/Avian,8/19/2009,H13N6,Yes
A/greater scaup/Wisconsin/4234/2009,CY097316,CY097315,CY097314,CY097309,CY097312,CY097311,CY097310,CY097313,Wisconsin,USA,IRD:Greater Scaup/Avian,12/6/2009,H11N9,Yes
A/greater white-fronted goose/California/3778/2010,CY132637,CY132636,CY132635,CY132629,CY132633,CY132631,CY132630,CY132634,California,USA,IRD:Greater White-Fronted Goose/Avian,12/5/2010,(H6),Yes
A/green-winged teal/New Brunswick/00331/2010,CY138711,CY138710,CY138708,CY138700,CY138705,CY138704,CY138702,CY138707,-N/A-,Canada,IRD:Green-winged Teal/Avian,8/8/2010,(H3),Yes
A/green-winged teal/New Brunswick/00333/2010,CY138720,CY138719,CY138718,CY138713,CY138716,CY138715,CY138714,CY138717,-N/A-,Canada,IRD:Green-winged Teal/Avian,8/8/2010,H1N1,Yes
A/green-winged teal/New Brunswick/00335/2010,CY138728,CY138727,CY138726,CY138721,CY138724,CY138723,CY138722,CY138725,-N/A-,Canada,IRD:Green-winged Teal/Avian,8/8/2010,H3N8,Yes
A/green-winged teal/New Brunswick/00336/2010,CY138736,CY138735,CY138734,CY138729,CY138732,CY138731,CY138730,CY138733,-N/A-,Canada,IRD:Green-winged Teal/Avian,8/8/2010,H3N8,Yes
A/green-winged teal/New Brunswick/00392/2010,CY138841,CY138840,CY138839,CY138834,CY138837,CY138836,CY138835,CY138838,-N/A-,Canada,IRD:Green-winged Teal/Avian,8/9/2010,H7N7,Yes
A/green-winged teal/New Brunswick/03483/2009,CY125388,CY125387,CY125386,CY125381,CY125384,CY125383,CY125382,CY125385,-N/A-,Canada,IRD:Green-winged Teal/Avian,8/14/2009,H3N8,Yes
A/green-winged teal/Nova Scotia/00354/2010,CY138800,CY138799,CY138798,CY138793,CY138796,CY138795,CY138794,CY138797,-N/A-,Canada,IRD:Green-winged Teal/Avian,8/8/2010,H3N8,Yes
A/green-winged teal/Prince Edward Island/00838/2010,CY139294,CY139293,CY139292,CY139287,CY139290,CY139289,CY139288,CY139291,-N/A-,Canada,IRD:Green-winged Teal/Avian,9/2/2010,H3N8,Yes
A/green-winged teal/Prince Edward Island/00839/2010,CY139302,CY139301,CY139300,CY139295,CY139298,CY139297,CY139296,CY139299,-N/A-,Canada,IRD:Green-winged Teal/Avian,9/2/2010,H3N8,Yes
A/green-winged teal/Prince Edward Island/00840/2010,CY139310,CY139309,CY139308,CY139303,CY139306,CY139305,CY139304,CY139307,-N/A-,Canada,IRD:Green-winged Teal/Avian,9/2/2010,H3N8,Yes
A/green-winged teal/Prince Edward Island/00841/2010,CY139318,CY139317,CY139316,CY139311,CY139314,CY139313,CY139312,CY139315,-N/A-,Canada,IRD:Green-winged Teal/Avian,9/2/2010,H3N8,Yes
A/green-winged teal/Prince Edward Island/03846/2009,CY125284,CY125282,CY125281,CY125274,CY125279,CY125278,CY125276,CY125280,-N/A-,Canada,IRD:Green-winged Teal/Avian,8/19/2009,Mixed,Yes
A/gull/Delaware/428/2009,KF424023,KF424024,KF424025,KF424026,KF424027,KF424028,KF424029,KF424030,Delaware,USA,IRD:Gull/Avian,5/21/2009,H1N1,Yes
A/gull/Delaware/AI09-435/2009,CY145995,CY145994,CY145993,CY145987,CY145991,CY145990,CY145988,CY145992,Delaware,USA,IRD:Gull/Avian,5/28/2009,Mixed,Yes
A/gull/Delaware/AI09-438/2009,CY146003,CY146002,CY146001,CY145996,CY145999,CY145998,CY145997,CY146000,Delaware,USA,IRD:Gull/Avian,5/28/2009,H1N1,Yes
A/gull/Delaware/AI09-453/2009,CY146011,CY146010,CY146009,CY146004,CY146007,CY146006,CY146005,CY146008,Delaware,USA,IRD:Gull/Avian,5/28/2009,H1N1,Yes
A/gull/New Jersey/AI09-964/2009,CY146253,CY146252,CY146251,CY146246,CY146249,CY146248,CY146247,CY146250,New Jersey,USA,IRD:Gull/Avian,5/27/2009,H1N8,Yes
A/gull/Southeastern Alaska/10JR01527R0/2010,CY130492,CY130491,CY130490,CY130485,CY130488,CY130487,CY130486,CY130489,Unknown,USA,IRD:Gull/Avian,8/12/2010,H16N3,Yes
A/herring gull/New Jersey/AI09-1262/2009,CY146375,CY146374,CY146373,CY146368,CY146371,CY146370,CY146369,CY146372,New Jersey,USA,IRD:Herring Gull/Avian,6/10/2009,H10N7,Yes
A/herring gull/New Jersey/AI09-335/2009,CY145962,CY145961,CY145960,CY145955,CY145958,CY145957,CY145956,CY145959,New Jersey,USA,IRD:Herring Gull/Avian,5/16/2009,H11N1,Yes
A/hooded merganser/New Brunswick/03749/2009,CY125332,CY125331,CY125330,CY125325,CY125328,CY125327,CY125326,CY125329,-N/A-,Canada,IRD:Hooded Merganser/Avian,9/14/2009,H3N8,Yes
A/hooded merganser/New Brunswick/03750/2009,CY125316,CY125315,CY125314,CY125309,CY125312,CY125311,CY125310,CY125313,-N/A-,Canada,IRD:Hooded Merganser/Avian,9/14/2009,H13N6,Yes
A/laughing gull/New Jersey/AI09-218/2009,CY145922,CY145921,CY145920,CY145915,CY145918,CY145917,CY145916,CY145919,New Jersey,USA,IRD:Laughing Gull/Avian,5/15/2009,H11N1,Yes
A/laughing gull/New Jersey/AI09-271/2009,CY145938,CY145937,CY145936,CY145931,CY145934,CY145933,CY145932,CY145935,New Jersey,USA,IRD:Laughing Gull/Avian,5/15/2009,H11N1,Yes
A/lesser scaup/Illinois/4115/2009,CY097533,CY097532,CY097531,CY097526,CY097529,CY097528,CY097527,CY097530,Illinois,USA,IRD:Lesser Scaup/Avian,11/29/2009,H10N7,Yes
A/lesser scaup/Louisiana/AI09-5204/2009,CY140992,CY140991,CY140990,CY140985,CY140988,CY140987,CY140986,CY140989,Louisiana,USA,IRD:Lesser Scaup/Avian,11/14/2009,H6N8,Yes
A/lesser scaup/Wisconsin/3964/2009,CY097300,CY097299,CY097298,CY097293,CY097296,CY097295,CY097294,CY097297,Wisconsin,USA,IRD:Lesser Scaup/Avian,11/23/2009,H10N3,Yes
A/little yellow-shouldered bat/Guatemala/060/2010,CY103889,CY103890,CY103891,CY103892,CY103893,CY103894,CY103895,CY103896,-N/A-,Guatemala,IRD:Bat,10-Sep,H17N10,Yes
A/little yellow-shouldered bat/Guatemala/153/2009,CY103873,CY103874,CY103875,CY103876,CY103877,CY103878,CY103879,CY103880,-N/A-,Guatemala,IRD:Bat,9-May,H17N10,Yes
A/little yellow-shouldered bat/Guatemala/164/2009,CY103881,CY103882,CY103883,CY103884,CY103885,CY103886,CY103887,CY103888,-N/A-,Guatemala,IRD:Bat,9-May,H17N10,Yes
A/long-tailed duck/Wisconsin/10OS3915/2010,CY133552,CY133551,CY133550,CY133545,CY133548,CY133547,CY133546,CY133549,Wisconsin,USA,IRD:Duck/Avian,11/16/2010,H3N6,Yes
A/long-tailed duck/Wisconsin/10OS3919/2010,CY133568,CY133567,CY133566,CY133561,CY133564,CY133563,CY133562,CY133565,Wisconsin,USA,IRD:Duck/Avian,11/16/2010,H10N6,Yes
A/long-tailed duck/Wisconsin/10OS4225/2010,KC110601,KC110603,KC110604,JN696316,KC110602,KC110605,KC110606,KC110607,Wisconsin,USA,IRD:Duck/Avian,12/3/2010,H14N6,Yes
A/mallard-black duck hybrid/New Brunswick/00904/2010,CY139384,CY139383,CY139382,CY139377,CY139380,CY139379,CY139378,CY139381,-N/A-,Canada,IRD:Mallard-Black Duck Hybrid/Avian,9/14/2010,H10N7,Yes
A/mallard-black duck hybrid/New Brunswick/03039/2009,CY128802,CY128801,CY128798,CY128790,CY128795,CY128794,CY128792,CY128797,-N/A-,Canada,IRD:Mallard-Black Duck Hybrid/Avian,8/16/2009,(H3),Yes
A/mallard-black duck hybrid/New Brunswick/03736/2009,CY128965,CY128964,CY128963,CY128958,CY128961,CY128960,CY128959,CY128962,-N/A-,Canada,IRD:Mallard-Black Duck Hybrid/Avian,9/14/2009,H13N6,Yes
A/mallard/Alberta/155/2009,CY137997,CY137996,CY137995,CY137990,CY137993,CY137992,CY137991,CY137994,-N/A-,Canada,IRD:Mallard/Avian,8/19/2009,H1N9,Yes
A/mallard/Alberta/289/2009,CY117404,CY117403,CY117402,CY117397,CY117400,CY117399,CY117398,CY117401,-N/A-,Canada,IRD:Mallard/Avian,8/20/2009,H2N9,Yes
A/mallard/Alberta/319/2009,CY117420,CY117419,CY117418,CY117413,CY117416,CY117415,CY117414,CY117417,-N/A-,Canada,IRD:Mallard/Avian,8/22/2009,H2N3,Yes
A/mallard/Alberta/35/2009,CY117412,CY117411,CY117410,CY117405,CY117408,CY117407,CY117406,CY117409,-N/A-,Canada,IRD:Mallard/Avian,8/19/2009,H2N3,Yes
A/mallard/Alberta/413/2009,CY126566,CY126564,CY126562,CY126555,CY126559,CY126558,CY126556,CY126561,-N/A-,Canada,IRD:Mallard/Avian,8/22/2009,(H6),Yes
A/mallard/Alberta/417/2009,CY103526,CY103525,CY103524,CY103519,CY103522,CY103521,CY103520,CY103523,-N/A-,Canada,IRD:Mallard/Avian,8/22/2009,H2N3,Yes
A/mallard/Alberta/419/2009,CY117428,CY117427,CY117426,CY117421,CY117424,CY117423,CY117422,CY117425,-N/A-,Canada,IRD:Mallard/Avian,8/22/2009,H2N3,Yes
A/mallard/Alberta/421/2009,CY103534,CY103533,CY103532,CY103527,CY103530,CY103529,CY103528,CY103531,-N/A-,Canada,IRD:Mallard/Avian,8/22/2009,H2N3,Yes
A/mallard/Alberta/551/2009,CY103542,CY103541,CY103540,CY103535,CY103538,CY103537,CY103536,CY103539,-N/A-,Canada,IRD:Mallard/Avian,8/23/2009,H3N8,Yes
A/mallard/Arkansas/AI09-5649/2009,CY146520,CY146519,CY146518,CY146513,CY146516,CY146515,CY146514,CY146517,Arkansas,USA,IRD:Mallard/Avian,12/11/2009,H9N2,Yes
A/mallard/Arkansas/AI09-5663/2009,CY141016,CY141015,CY141014,CY141009,CY141012,CY141011,CY141010,CY141013,Arkansas,USA,IRD:Mallard/Avian,12/10/2009,H11N9,Yes
A/mallard/Arkansas/AI09-5761/2009,CY141024,CY141023,CY141022,CY141017,CY141020,CY141019,CY141018,CY141021,Arkansas,USA,IRD:Mallard/Avian,12/11/2009,H2N3,Yes
A/mallard/Arkansas/AI09-5900/2009,CY141032,CY141031,CY141030,CY141025,CY141028,CY141027,CY141026,CY141029,Arkansas,USA,IRD:Mallard/Avian,12/11/2009,H3N8,Yes
A/mallard/Arkansas/AI09-5944/2009,CY141040,CY141039,CY141038,CY141033,CY141036,CY141035,CY141034,CY141037,Arkansas,USA,IRD:Mallard/Avian,12/10/2009,H4N8,Yes
A/mallard/Arkansas/AI09-6032/2009,CY141056,CY141055,CY141054,CY141049,CY141052,CY141051,CY141050,CY141053,Arkansas,USA,IRD:Mallard/Avian,12/11/2009,H10N9,Yes
A/mallard/California/1154/2010,CY125957,CY125956,CY125955,CY125950,CY125953,CY125952,CY125951,CY125954,California,USA,IRD:Mallard/Avian,7/27/2010,H4N6,Yes
A/mallard/California/1156/2010,CY094756,CY094755,CY094754,CY094749,CY094752,CY094751,CY094750,CY094753,California,USA,IRD:Mallard/Avian,7/27/2010,H4N6,Yes
A/mallard/California/1188/2010,CY094780,CY094779,CY094778,CY094773,CY094776,CY094775,CY094774,CY094777,California,USA,IRD:Mallard/Avian,7/29/2010,H4N6,Yes
A/mallard/California/1210/2010,CY094764,CY094763,CY094762,CY094757,CY094760,CY094759,CY094758,CY094761,California,USA,IRD:Mallard/Avian,7/29/2010,H4N6,Yes
A/mallard/California/1289/2010,CY094788,CY094787,CY094786,CY094781,CY094784,CY094783,CY094782,CY094785,California,USA,IRD:Mallard/Avian,7/30/2010,H4N6,Yes
A/mallard/California/1297/2010,CY120690,CY120689,CY120688,CY120683,CY120686,CY120685,CY120684,CY120687,California,USA,IRD:Mallard/Avian,7/30/2010,H4N6,Yes
A/mallard/California/1305/2010,CY094772,CY094771,CY094770,CY094765,CY094768,CY094767,CY094766,CY094769,California,USA,IRD:Mallard/Avian,8/3/2010,H10N7,Yes
A/mallard/California/1335-1/2010,CY120706,CY120705,CY120704,CY120699,CY120702,CY120701,CY120700,CY120703,California,USA,IRD:Mallard/Avian,8/3/2010,H10N7,Yes
A/mallard/California/1335/2010,CY120698,CY120697,CY120696,CY120691,CY120694,CY120693,CY120692,CY120695,California,USA,IRD:Mallard/Avian,8/3/2010,H10N7,Yes
A/mallard/California/1353/2010,CY094796,CY094795,CY094794,CY094789,CY094792,CY094791,CY094790,CY094793,California,USA,IRD:Mallard/Avian,8/6/2010,H10N7,Yes
A/mallard/California/1356/2010,CY120554,CY120553,CY120552,CY120547,CY120550,CY120549,CY120548,CY120551,California,USA,IRD:Mallard/Avian,8/4/2010,H10N7,Yes
A/mallard/California/1390/2010,CY120562,CY120561,CY120560,CY120555,CY120558,CY120557,CY120556,CY120559,California,USA,IRD:Mallard/Avian,8/4/2010,H7N5,Yes
A/mallard/California/1438/2010,CY120570,CY120569,CY120568,CY120563,CY120566,CY120565,CY120564,CY120567,California,USA,IRD:Mallard/Avian,8/9/2010,H2N3,Yes
A/mallard/California/1492/2010,CY120578,CY120577,CY120576,CY120571,CY120574,CY120573,CY120572,CY120575,California,USA,IRD:Mallard/Avian,8/10/2010,H6N4,Yes
A/mallard/California/1505/2010,CY120516*,CY120515*,CY120514*,CY120509*,CY120512,CY120511,CY120510,CY120513,California,USA,IRD:Mallard/Avian,8/10/2010,H4N3,Yes
A/mallard/California/1523/2010,CY120586,CY120585,CY120584,CY120579,CY120582,CY120581,CY120580,CY120583,California,USA,IRD:Mallard/Avian,8/11/2010,H4N6,Yes
A/mallard/California/2396/2010,CY120594,CY120593,CY120592,CY120587,CY120590,CY120589,CY120588,CY120591,California,USA,IRD:Mallard/Avian,10/30/2010,H5N2,Yes
A/mallard/California/2420/2010,CY133900,CY133899,CY133898,CY133893,CY133896,CY133895,CY133894,CY133897,California,USA,IRD:Mallard/Avian,10/23/2010,H10N7,Yes
A/mallard/California/2444/2010,CY120602,CY120601,CY120600,CY120595,CY120598,CY120597,CY120596,CY120599,California,USA,IRD:Mallard/Avian,10/27/2010,H6N1,Yes
A/mallard/California/2529/2010,CY134390,CY134389,CY134388,CY134383,CY134386,CY134385,CY134384,CY134387,California,USA,IRD:Mallard/Avian,10/23/2010,H6N1,Yes
A/mallard/California/3134/2010,CY120618,CY120617,CY120616,CY120611,CY120614,CY120613,CY120612,CY120615,California,USA,IRD:Mallard/Avian,11/24/2010,H1N1,Yes
