Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Sample ID
3,"PA,PA-X protein(+61)",CY141827,Yes,2151,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10324
6,NA,CY141824,Yes,1428,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10324
7,"M1,M2",CY141823,Yes,1002,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10324
8,"NS1,NS2",CY141826,Yes,865,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10324
2,"PB1,PB1-F2",CY141828,Yes,2304,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10324
1,PB2,CY141845,Yes,2301,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10787
7,"M1,M2",CY141839,Yes,1002,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10787
5,NP,CY141841,Yes,1540,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10787
4,HA,CY141838,Yes,1706,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10787
3,"PA,PA-X protein(+61)",CY141843,Yes,2202,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10787
2,"PB1,PB1-F2",CY141844,Yes,2304,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10787
6,NA,CY141840,Yes,1428,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10787
8,"NS1,NS2",CY141842,Yes,865,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10787
2,"PB1,PB1-F2",CY141892,Yes,2304,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10811
4,HA,CY141886,Yes,1706,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10811
7,"M1,M2",CY141887,Yes,1002,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10811
1,PB2,CY141893,Yes,2307,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10811
6,NA,CY141888,Yes,1428,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10811
3,"PA,PA-X protein(+61)",CY141891,Yes,2151,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10811
5,NP,CY141889,Yes,1540,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10811
8,"NS1,NS2",CY141890,Yes,865,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10811
1,PB2,CY143860,Yes,2307,H7N3,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10829
6,NA,CY143855,Yes,1428,H7N3,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10829
2,"PB1,PB1-F2",CY143859,Yes,2304,H7N3,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10829
5,NP,CY143856,Yes,1540,H7N3,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10829
7,"M1,M2",CY143854,Yes,1002,H7N3,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10829
8,"NS1,NS2",CY143857,Yes,865,H7N3,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10829
4,HA,CY143853,Yes,1706,H7N3,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10829
3,"PA,PA-X protein(+61)",CY143858,Yes,2151,H7N3,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10829
1,PB2,CY141909,Yes,2316,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10859
2,"PB1,PB1-F2",CY141908,Yes,2304,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10859
5,NP,CY141905,Yes,1540,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10859
8,"NS1,NS2",CY141906,Yes,865,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10859
7,"M1,M2",CY141903,Yes,1002,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10859
3,"PA,PA-X protein(+61)",CY141907,Yes,2202,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10859
6,NA,CY141904,Yes,1428,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10859
4,HA,CY141902,Yes,1706,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10859
2,"PB1,PB1-F2",CY141916,Yes,2304,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10861
8,"NS1,NS2",CY141914,Yes,853,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10861
7,"M1,M2",CY141911,Yes,1002,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10861
4,HA,CY141910,Yes,1706,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10861
5,NP,CY141913,Yes,1540,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10861
6,NA,CY141912,Yes,1428,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10861
3,"PA,PA-X protein(+61)",CY141915,Yes,2202,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10861
1,PB2,CY141917,Yes,2307,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10861
4,HA,CY143861,Yes,1708,H4N6,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10864
2,"PB1,PB1-F2",CY143867,Yes,2309,H4N6,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10864
6,NA,CY143863,Yes,1439,H4N6,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10864
7,"M1,M2",CY143862,Yes,1002,H4N6,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10864
1,PB2,CY143868,Yes,2307,H4N6,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10864
5,NP,CY143864,Yes,1540,H4N6,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10864
8,"NS1,NS2",CY143865,Yes,865,H4N6,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10864
3,"PA,PA-X protein(+61)",CY143866,Yes,2151,H4N6,8/10/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10864
1,PB2,CY141925,Yes,2307,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10876
5,NP,CY141921,Yes,1540,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10876
2,"PB1,PB1-F2",CY141924,Yes,2304,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10876
3,"PA,PA-X protein(+61)",CY141923,Yes,2151,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10876
4,HA,CY141918,Yes,1706,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10876
7,"M1,M2",CY141919,Yes,1002,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10876
6,NA,CY141920,Yes,1428,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10876
8,"NS1,NS2",CY141922,Yes,865,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM10876
1,PB2,CY143884,Yes,2307,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11311
7,"M1,M2",CY143878,Yes,1002,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11311
3,"PA,PA-X protein(+61)",CY143882,Yes,2151,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11311
6,NA,CY143879,Yes,1421,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11311
8,"NS1,NS2",CY143881,Yes,865,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11311
5,NP,CY143880,Yes,1540,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11311
4,HA,CY143877,Yes,1740,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11311
2,"PB1,PB1-F2",CY143883,Yes,2304,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11311
4,HA,CY143885,Yes,1740,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11414
5,NP,CY143888,Yes,1540,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11414
7,"M1,M2",CY143886,Yes,987,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11414
2,"PB1,PB1-F2",CY143891,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11414
6,NA,CY143887,Yes,1421,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11414
3,"PA,PA-X protein(+61)",CY143890,Yes,2208,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11414
1,PB2,CY143892,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11414
8,"NS1,NS2",CY143889,Yes,864,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11414
7,"M1,M2",CY143894,Yes,1002,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11415
5,NP,CY143896,Yes,1540,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11415
8,"NS1,NS2",CY143897,Yes,864,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11415
2,"PB1,PB1-F2",CY143899,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11415
6,NA,CY143895,Yes,1421,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11415
3,"PA,PA-X protein(+61)",CY143898,Yes,2208,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11415
4,HA,CY143893,Yes,1740,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11415
1,PB2,CY143900,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11415
5,NP,CY143904,Yes,1540,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11416
7,"M1,M2",CY143902,Yes,989,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11416
3,"PA,PA-X protein(+61)",CY143906,Yes,2208,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11416
4,HA,CY143901,Yes,1740,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11416
8,"NS1,NS2",CY143905,Yes,864,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11416
1,PB2,CY143908,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11416
6,NA,CY143903,Yes,1421,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11416
2,"PB1,PB1-F2",CY143907,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11416
4,HA,CY143909,Yes,1740,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11418
7,"M1,M2",CY143910,Yes,1002,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11418
6,NA,CY143911,Yes,1421,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11418
3,"PA,PA-X protein(+61)",CY143914,Yes,2208,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11418
5,NP,CY143912,Yes,1540,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11418
1,PB2,CY143916,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11418
2,"PB1,PB1-F2",CY143915,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11418
8,"NS1,NS2",CY143913,Yes,864,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11418
7,"M1,M2",CY143918,Yes,987,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11419
3,"PA,PA-X protein(+61)",CY143922,Yes,2208,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11419
1,PB2,CY143924,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11419
8,"NS1,NS2",CY143921,Yes,864,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11419
2,"PB1,PB1-F2",CY143923,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11419
5,NP,CY143920,Yes,1540,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11419
6,NA,CY143919,Yes,1421,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11419
4,HA,CY143917,Yes,1740,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11419
6,NA,CY143927,Yes,1421,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11420
4,HA,CY143925,Yes,1740,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11420
5,NP,CY143928,Yes,1540,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11420
2,"PB1,PB1-F2",CY143931,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11420
1,PB2,CY143932,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11420
3,"PA,PA-X protein(+61)",CY143930,Yes,2208,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11420
8,"NS1,NS2",CY143929,Yes,864,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11420
7,"M1,M2",CY143926,Yes,991,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11420
4,HA,CY143933,Yes,1740,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11421
5,NP,CY143936,Yes,1535,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11421
7,"M1,M2",CY143934,Yes,1002,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11421
6,NA,CY143935,Yes,1435,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11421
3,"PA,PA-X protein(+61)",CY143938,Yes,2208,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11421
8,"NS1,NS2",CY143937,Yes,865,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11421
1,PB2,CY143940,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11421
2,"PB1,PB1-F2",CY143939,Yes,2316,H3N8,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11421
5,NP,CY141953,Yes,1540,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11434
1,PB2,CY141957,Yes,2307,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11434
8,"NS1,NS2",CY141954,Yes,865,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11434
7,"M1,M2",CY141951,Yes,1002,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11434
2,"PB1,PB1-F2",CY141956,Yes,2304,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11434
4,HA,CY141950,Yes,1706,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11434
3,"PA,PA-X protein(+61)",CY141955,Yes,2151,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11434
6,NA,CY141952,Yes,1428,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11434
7,"M1,M2",CY143952,Yes,991,H3N6,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11497
2,"PB1,PB1-F2",CY143957,Yes,2309,H3N6,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11497
1,PB2,CY143958,Yes,2307,H3N6,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11497
4,HA,CY143951,Yes,1740,H3N6,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11497
8,"NS1,NS2",CY143955,Yes,865,H3N6,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11497
5,NP,CY143954,Yes,1540,H3N6,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11497
6,NA,CY143953,Yes,1439,H3N6,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11497
3,"PA,PA-X protein(+61)",CY143956,Yes,2151,H3N6,8/12/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM11497
2,"PB1,PB1-F2",CY144101,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12049
5,NP,CY144098,Yes,1540,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12049
7,"M1,M2",CY144096,Yes,1002,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12049
4,HA,CY144095,Yes,1740,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12049
8,"NS1,NS2",CY144099,Yes,864,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12049
6,NA,CY144097,Yes,1421,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12049
1,PB2,CY144102,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12049
3,"PA,PA-X protein(+61)",CY144100,Yes,2208,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12049
3,"PA,PA-X protein(+61)",CY143988,Yes,2208,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12172
6,NA,CY143985,Yes,1421,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12172
2,"PB1,PB1-F2",CY143989,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12172
7,"M1,M2",CY143984,Yes,1002,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12172
8,"NS1,NS2",CY143987,Yes,864,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12172
1,PB2,CY143990,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12172
5,NP,CY143986,Yes,1540,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12172
4,HA,CY143983,Yes,1740,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12172
1,PB2,CY143998,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12177
6,NA,CY143993,Yes,1421,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12177
4,HA,CY143991,Yes,1740,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12177
7,"M1,M2",CY143992,Yes,982,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12177
5,NP,CY143994,Yes,1540,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12177
2,"PB1,PB1-F2",CY143997,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12177
3,"PA,PA-X protein(+61)",CY143996,Yes,2208,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12177
8,"NS1,NS2",CY143995,Yes,864,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12177
5,NP,CY144002,Yes,1540,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12178
8,"NS1,NS2",CY144003,Yes,864,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12178
3,"PA,PA-X protein(+61)",CY144004,Yes,2208,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12178
1,PB2,CY144006,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12178
2,"PB1,PB1-F2",CY144005,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12178
6,NA,CY144001,Yes,1421,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12178
4,HA,CY143999,Yes,1740,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12178
7,"M1,M2",CY144000,Yes,1002,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12178
6,NA,CY144009,Yes,1421,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12179
3,"PA,PA-X protein(+61)",CY144012,Yes,2208,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12179
1,PB2,CY144014,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12179
7,"M1,M2",CY144008,Yes,987,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12179
4,HA,CY144007,Yes,1740,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12179
2,"PB1,PB1-F2",CY144013,Yes,2316,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12179
8,"NS1,NS2",CY144011,Yes,864,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12179
5,NP,CY144010,Yes,1540,H3N8,8/13/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12179
1,PB2,CY144022,Yes,2307,H4N6,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12308
3,"PA,PA-X protein(+61)",CY144020,Yes,2151,H4N6,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12308
7,"M1,M2",CY144016,Yes,1002,H4N6,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12308
6,NA,CY144017,Yes,1439,H4N6,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12308
8,"NS1,NS2",CY144019,Yes,865,H4N6,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12308
2,"PB1,PB1-F2",CY144021,Yes,2309,H4N6,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12308
4,HA,CY144015,Yes,1708,H4N6,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12308
5,NP,CY144018,Yes,1540,H4N6,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12308
5,NP,CY144026,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12311
6,NA,CY144025,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12311
1,PB2,CY144030,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12311
3,"PA,PA-X protein(+61)",CY144028,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12311
8,"NS1,NS2",CY144027,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12311
2,"PB1,PB1-F2",CY144029,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12311
4,HA,CY144023,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12311
7,"M1,M2",CY144024,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12311
2,"PB1,PB1-F2",CY144037,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12350
6,NA,CY144033,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12350
5,NP,CY144034,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12350
7,"M1,M2",CY144032,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12350
8,"NS1,NS2",CY144035,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12350
3,"PA,PA-X protein(+61)",CY144036,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12350
1,PB2,CY144038,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12350
4,HA,CY144031,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12350
2,"PB1,PB1-F2",CY144045,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12351
4,HA,CY144039,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12351
5,NP,CY144042,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12351
3,"PA,PA-X protein(+61)",CY144044,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12351
8,"NS1,NS2",CY144043,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12351
1,PB2,CY144046,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12351
6,NA,CY144041,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12351
7,"M1,M2",CY144040,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12351
2,"PB1,PB1-F2",CY144053,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,10BM12352
