Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
8,"NS1,NS2",CY144043,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12351R0/2010(H3N8)
1,PB2,CY144046,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12351R0/2010(H3N8)
6,NA,CY144041,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12351R0/2010(H3N8)
7,"M1,M2",CY144040,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12351R0/2010(H3N8)
2,"PB1,PB1-F2",CY144053,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12352R0/2010(H3N8)
4,HA,CY144047,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12352R0/2010(H3N8)
1,PB2,CY144054,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12352R0/2010(H3N8)
3,"PA,PA-X protein(+61)",CY144052,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12352R0/2010(H3N8)
7,"M1,M2",CY144048,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12352R0/2010(H3N8)
8,"NS1,NS2",CY144051,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12352R0/2010(H3N8)
6,NA,CY144049,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12352R0/2010(H3N8)
5,NP,CY144050,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12352R0/2010(H3N8)
1,PB2,CY141514*,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12362R0/2010(H3N8)
5,NP,CY141510*,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12362R0/2010(H3N8)
8,"NS1,NS2",CY141511*,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12362R0/2010(H3N8)
4,HA,CY141507*,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12362R0/2010(H3N8)
7,"M1,M2",CY141508*,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12362R0/2010(H3N8)
2,"PB1,PB1-F2",CY141513*,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12362R0/2010(H3N8)
6,NA,CY141509*,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12362R0/2010(H3N8)
3,"PA,PA-X protein(other)",CY141512*,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12362R0/2010(H3N8)
1,PB2,CY144062,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12363R0/2010(H3N8)
4,HA,CY144055,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12363R0/2010(H3N8)
2,"PB1,PB1-F2",CY144061,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12363R0/2010(H3N8)
7,"M1,M2",CY144056,Yes,982,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12363R0/2010(H3N8)
8,"NS1,NS2",CY144059,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12363R0/2010(H3N8)
6,NA,CY144057,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12363R0/2010(H3N8)
5,NP,CY144058,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12363R0/2010(H3N8)
3,"PA,PA-X protein(+61)",CY144060,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12363R0/2010(H3N8)
7,"M1,M2",CY144064,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12370R0/2010(H3N8)
5,NP,CY144066,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12370R0/2010(H3N8)
4,HA,CY144063,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12370R0/2010(H3N8)
2,"PB1,PB1-F2",CY144069,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12370R0/2010(H3N8)
6,NA,CY144065,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12370R0/2010(H3N8)
8,"NS1,NS2",CY144067,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12370R0/2010(H3N8)
3,"PA,PA-X protein(+61)",CY144068,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12370R0/2010(H3N8)
1,PB2,CY144070,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12370R0/2010(H3N8)
7,"M1,M2",CY144072,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12374R0/2010(H3N8)
4,HA,CY144071,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12374R0/2010(H3N8)
8,"NS1,NS2",CY144075,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12374R0/2010(H3N8)
2,"PB1,PB1-F2",CY144077,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12374R0/2010(H3N8)
6,NA,CY144073,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12374R0/2010(H3N8)
3,"PA,PA-X protein(+61)",CY144076,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12374R0/2010(H3N8)
5,NP,CY144074,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12374R0/2010(H3N8)
1,PB2,CY144078,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12374R0/2010(H3N8)
8,"NS1,NS2",CY144083,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12383R0/2010(H3N8)
5,NP,CY144082,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12383R0/2010(H3N8)
2,"PB1,PB1-F2",CY144085,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12383R0/2010(H3N8)
6,NA,CY144081,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12383R0/2010(H3N8)
1,PB2,CY144086,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12383R0/2010(H3N8)
4,HA,CY144079,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12383R0/2010(H3N8)
3,"PA,PA-X protein(+61)",CY144084,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12383R0/2010(H3N8)
7,"M1,M2",CY144080,Yes,987,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12383R0/2010(H3N8)
4,HA,CY141982,Yes,1706,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12534R0/2010(H7N3)
7,"M1,M2",CY141983,Yes,1002,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12534R0/2010(H7N3)
3,"PA,PA-X protein(+61)",CY141987,Yes,2151,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12534R0/2010(H7N3)
2,"PB1,PB1-F2",CY141988,Yes,2304,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12534R0/2010(H7N3)
8,"NS1,NS2",CY141986,Yes,865,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12534R0/2010(H7N3)
6,NA,CY141984,Yes,1428,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12534R0/2010(H7N3)
1,PB2,CY141989,Yes,2307,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12534R0/2010(H7N3)
5,NP,CY141985,Yes,1540,H7N3,2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12534R0/2010(H7N3)
6,NA,CY141517,Yes,1421,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12582R0/2010(H3N8)
1,PB2,CY141522,Yes,2316,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12582R0/2010(H3N8)
8,"NS1,NS2",CY141519,Yes,864,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12582R0/2010(H3N8)
7,"M1,M2",CY141516,Yes,1002,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12582R0/2010(H3N8)
4,HA,CY141515,Yes,1740,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12582R0/2010(H3N8)
3,"PA,PA-X protein(+61)",CY141520,Yes,2208,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12582R0/2010(H3N8)
5,NP,CY141518,Yes,1540,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12582R0/2010(H3N8)
2,"PB1,PB1-F2",CY141521,Yes,2309,H3N8,8/14/2010,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/10BM12582R0/2010(H3N8)
6,NA,CY142099,Yes,1437,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10043R0/2009(H10N7)
4,HA,CY142097,Yes,1703,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10043R0/2009(H10N7)
3,"PA,PA-X protein(+61)",CY142102,Yes,2208,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10043R0/2009(H10N7)
5,NP,CY142100,Yes,1537,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10043R0/2009(H10N7)
7,"M1,M2",CY142098,Yes,994,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10043R0/2009(H10N7)
8,"NS1,NS2",CY142101,Yes,865,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10043R0/2009(H10N7)
2,"PB1,PB1-F2",CY142103,Yes,2316,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10043R0/2009(H10N7)
1,PB2,CY142104,Yes,2306,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10043R0/2009(H10N7)
8,"NS1,NS2",CY142726,Yes,865,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8)
3,"PA,PA-X protein(+61)",CY142727,Yes,2208,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8)
2,"PB1,PB1-F2",CY142728,Yes,2309,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8)
1,PB2,CY142729,Yes,2316,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8)
4,HA,CY142722,Yes,1740,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8)
6,NA,CY142724,Yes,1435,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8)
7,"M1,M2",CY142723,Yes,1002,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8)
5,NP,CY142725,Yes,1535,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10047R0/2009(H3N8)
5,NP,CY142733,Yes,1535,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8)
7,"M1,M2",CY142731,Yes,1002,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8)
8,"NS1,NS2",CY142734,Yes,865,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8)
4,HA,CY142730,Yes,1740,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8)
6,NA,CY142732,Yes,1435,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8)
3,"PA,PA-X protein(+61)",CY142735,Yes,2208,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8)
1,PB2,CY142737,Yes,2316,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8)
2,"PB1,PB1-F2",CY142736,Yes,2309,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10051R0/2009(H3N8)
8,"NS1,NS2",CY142742,Yes,865,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8)
6,NA,CY142740,Yes,1435,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8)
4,HA,CY142738,Yes,1740,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8)
7,"M1,M2",CY142739,Yes,1002,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8)
1,PB2,CY142745,Yes,2316,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8)
3,"PA,PA-X protein(+61)",CY142743,Yes,2208,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8)
2,"PB1,PB1-F2",CY142744,Yes,2309,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8)
5,NP,CY142741,Yes,1535,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10055R0/2009(H3N8)
6,NA,CY142748,Yes,1440,H4N6,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10095R0/2009(H4N6)
4,HA,CY142746,Yes,1713,H4N6,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10095R0/2009(H4N6)
2,"PB1,PB1-F2",CY142752,Yes,2316,H4N6,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10095R0/2009(H4N6)
5,NP,CY142749,Yes,1535,H4N6,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10095R0/2009(H4N6)
1,PB2,CY142753,Yes,2306,H4N6,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10095R0/2009(H4N6)
8,"NS1,NS2",CY142750,Yes,865,H4N6,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10095R0/2009(H4N6)
3,"PA,PA-X protein(+61)",CY142751,Yes,2208,H4N6,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10095R0/2009(H4N6)
7,"M1,M2",CY142747,Yes,994,H4N6,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10095R0/2009(H4N6)
3,"PA,PA-X protein(+61)",CY142759,Yes,2208,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8)
1,PB2,CY142761,Yes,2316,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8)
6,NA,CY142756,Yes,1435,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8)
8,"NS1,NS2",CY142758,Yes,865,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8)
5,NP,CY142757,Yes,1535,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8)
4,HA,CY142754,Yes,1740,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8)
7,"M1,M2",CY142755,Yes,1002,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8)
2,"PB1,PB1-F2",CY142760,Yes,2309,H3N8,8/15/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10111R0/2009(H3N8)
5,NP,CY142541,Yes,1537,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10369R0/2009(H10N7)
2,"PB1,PB1-F2",CY142544,Yes,2316,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10369R0/2009(H10N7)
4,HA,CY142538,Yes,1703,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10369R0/2009(H10N7)
8,"NS1,NS2",CY142542,Yes,865,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10369R0/2009(H10N7)
1,PB2,CY142545,Yes,2306,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10369R0/2009(H10N7)
3,"PA,PA-X protein(+61)",CY142543,Yes,2208,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10369R0/2009(H10N7)
6,NA,CY142540,Yes,1435,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10369R0/2009(H10N7)
7,"M1,M2",CY142539,Yes,994,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10369R0/2009(H10N7)
7,"M1,M2",CY142547,Yes,994,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10370R0/2009(H10N7)
8,"NS1,NS2",CY142550,Yes,865,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10370R0/2009(H10N7)
6,NA,CY142548,Yes,1433,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10370R0/2009(H10N7)
4,HA,CY142546,Yes,1703,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10370R0/2009(H10N7)
1,PB2,CY142553,Yes,2306,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10370R0/2009(H10N7)
2,"PB1,PB1-F2",CY142552,Yes,2316,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10370R0/2009(H10N7)
3,"PA,PA-X protein(+61)",CY142551,Yes,2208,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10370R0/2009(H10N7)
5,NP,CY142549,Yes,1537,H10N7,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10370R0/2009(H10N7)
4,HA,CY143396,Yes,1713,H4N6,8/17/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10375R0/2009(H4N6)
8,"NS1,NS2",CY143400,Yes,865,H4N6,8/17/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10375R0/2009(H4N6)
2,"PB1,PB1-F2",CY143402,Yes,2316,H4N6,8/17/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10375R0/2009(H4N6)
5,NP,CY143399,Yes,1535,H4N6,8/17/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10375R0/2009(H4N6)
7,"M1,M2",CY143397,Yes,994,H4N6,8/17/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10375R0/2009(H4N6)
1,PB2,CY143403,Yes,2306,H4N6,8/17/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10375R0/2009(H4N6)
6,NA,CY143398,Yes,1440,H4N6,8/17/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10375R0/2009(H4N6)
3,"PA,PA-X protein(+61)",CY143401,Yes,2208,H4N6,8/17/2009,IRD:Mallard/Avian,USA,Alaska,09-Aug,A/mallard/Interior Alaska/9BM10375R0/2009(H4N6)
6,NA,CY142556,Yes,1435,H12N8,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10393R0/2009
1,PB2,CY142561,Yes,2316,H12N8,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10393R0/2009
2,"PB1,PB1-F2",CY142560,Yes,2316,H12N8,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10393R0/2009
3,"PA,PA-X protein(+61)",CY142559,Yes,2208,H12N8,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10393R0/2009
7,"M1,M2",CY142555,Yes,994,H12N8,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10393R0/2009
4,HA,CY142554,Yes,1712,H12N8,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10393R0/2009
5,NP,CY142557,Yes,1535,H12N8,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10393R0/2009
8,"NS1,NS2",CY142558,Yes,865,H12N8,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10393R0/2009
1,PB2,CY136085,Yes,2306,H8N4,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10537R0/2009
6,NA,CY136080,Yes,1435,H8N4,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10537R0/2009
7,"M1,M2",CY136079,Yes,1002,H8N4,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10537R0/2009
2,"PB1,PB1-F2",CY136084,Yes,2316,H8N4,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10537R0/2009
4,HA,CY136078,Yes,1718,H8N4,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10537R0/2009
5,NP,CY136081,Yes,1540,H8N4,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10537R0/2009
8,"NS1,NS2",CY136082,Yes,865,H8N4,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10537R0/2009
3,"PA,PA-X protein(+61)",CY136083,Yes,2208,H8N4,2009,IRD:Mallard/Avian,USA,Alaska,-N/A-,A/mallard/Interior Alaska/9BM10537R0/2009
