Common Name,Sample ID,Band  #,Web Tag #,Nest ID,HS Bird ID,Species,Species.1,Sex,Capture,Health,Age,Age simple,Wild/Dom.,Habitat,Sample Type,GPS N,GPS W,Time,Date,Month,Year,Name,Location,Data Sheet,Capture #,Banding Date,Recap?,Ours or Foreign?,Category,Mass,Head,Total Tarsus,Wing Chord,Culmen,Grain Index,Blood Vial,Serum Vial,Whole Blood,Specific Location,Capture Method,Vial Notes,Marker Notes,Notes,Paired?,Date Shot,Time Shot,Fecal Quality,Fecal Loc,Brood ID,Hen Band #,"Wet, Dry, Pipping?",Brood Size,HEN STATUS?,decoy band,Cloacal Sample ID,Oral Sample ID,Notes.1,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8
A/northern pintail/Interior Alaska/10BM08705R0/2010(H7N3),10BM08705,1146-21511,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.93499,148.81372,1113,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR10,383,30-Jul-10,Y,O,FALL,616,,,239,,0,,,,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM08704,10BM08705,,CY141701,CY141700,CY141699,CY141694,CY141697,CY141696,CY141695,CY141698
A/mallard/Interior Alaska/10BM08828R0/2010(H4N6),10BM08828,1837-23794,,,,MALL,Anas platyrhynchos,F,A,H,HY,HY,W,M,C,64.92657,148.81829,1423,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT38,2627,5-Aug-10,N,,FALL,964,109.3,50.6,267,,0,1297,10BM21297,10BM31297,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM08828,10BM08829,,CY143667,CY143666,CY143665,CY143660,CY143663,CY143662,CY143661,CY143664
A/mallard/Interior Alaska/10BM08874R0/2010(H7N3),10BM08874,1837-23802,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.93499,148.81372,1945,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT38,2642,5-Aug-10,N,,FALL,1326,117.4,54.4,279,,1,,,,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM08873,10BM08874,,CY141709,CY141708,CY141707,CY141702,CY141705,CY141704,CY141703,CY141706
A/mallard/Interior Alaska/10BM08883R0/2010(H7N3),10BM08883,1837-23807,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.93499,148.81372,1945,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT38,2647,5-Aug-10,N,,FALL,1496,119.8,54.3,290,,1,,,,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM08883,10BM08884,,CY141717,CY141716,CY141715,CY141710,CY141713,CY141712,CY141711,CY141714
A/mallard/Interior Alaska/10BM08884R0/2010(H7N3),10BM08884,1837-23807,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.93499,148.81372,1945,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT38,2647,5-Aug-10,N,,FALL,1496,119.8,54.3,290,,1,,,,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM08883,10BM08884,,CY141725,CY141724,CY141723,CY141718,CY141721,CY141720,CY141719,CY141722
A/northern pintail/Interior Alaska/10BM08899R0/2010(H4N6),10BM08899,1146-21946,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93499,148.81372,1945,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT39,2655,5-Aug-10,N,,FALL,758,100.2,48.2,253,,0,,,,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM08899,10BM08901,,CY143675,CY143674,CY143673,CY143668,CY143671,CY143670,CY143669,CY143672
A/northern pintail/Interior Alaska/10BM08903R0/2010(H4N6),10BM08903,1146-21947,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93499,148.81372,1945,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT39,2656,5-Aug-10,N,,FALL,653,97.6,45.8,240,,0,,,,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM08902,10BM08903,,CY143683,CY143682,CY143681,CY143676,CY143679,CY143678,CY143677,CY143680
A/northern pintail/Interior Alaska/10BM08920R0/2010(H3N8),10BM08920,1146-21956,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93499,148.81372,1945,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT39,2665,5-Aug-10,N,,FALL,627,95.5,44.5,242,,0,,,,SAM BERRY,BAIT TRAP,,CAPTURED DEAD 8/9; BAND REMOVED,,,,,,,,,,,,,10BM08920,10BM08921,,CY143691,CY143690,CY143689,CY143684,CY143687,CY143686,CY143685,CY143688
A/northern pintail/Interior Alaska/10BM09101R0/2010(H3N8),10BM09101,1146-86017,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92657,148.81829,2359,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT42,2734,5-Aug-10,N,,FALL,763,98.5,47.4,256,,2,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09101,10BM09102,,CY143779,CY143778,CY143777,CY143772,CY143775,CY143774,CY143773,CY143776
A/northern pintail/Interior Alaska/10BM09102R0/2010(H3N8),10BM09102,1146-86017,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.92657,148.81829,2359,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT42,2734,5-Aug-10,N,,FALL,763,98.5,47.4,256,,2,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09101,10BM09102,,CY143787,CY143786,CY143785,CY143780,CY143783,CY143782,CY143781,CY143784
A/northern pintail/Interior Alaska/10BM09104R0/2010(H3N8),10BM09104,1146-86018,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.92657,148.81829,2359,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT42,2735,5-Aug-10,N,,FALL,994,108.5,52.2,272,,2,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09103,10BM09104,,CY143795,CY143794,CY143793,CY143788,CY143791,CY143790,CY143789,CY143792
A/northern pintail/Interior Alaska/10BM09105R0/2010(H3N8),10BM09105,1146-86019,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92657,148.81829,2359,5-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT42,2736,5-Aug-10,N,,FALL,952,97.2,48.7,248,,1,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09105,10BM09106,,CY143803,CY143802,CY143801,CY143796,CY143799,CY143798,CY143797,CY143800
A/mallard/Interior Alaska/10BM09158R0/2010(H3N8),10BM09158,1837-23837,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,OP,64.92657,148.81829,916,6-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT43,2757,6-Aug-10,N,,FALL,1111,105.5,50.2,270,,3,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09157,10BM09158,,CY143699,CY143698,CY143697,CY143692,CY143695,CY143694,CY143693,CY143696
A/mallard/Interior Alaska/10BM09159R0/2010(H3N8),10BM09159,1837-23838,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,C,64.92657,148.81829,916,6-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT43,2758,6-Aug-10,N,,FALL,1076,106.2,50.3,262,,1,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09159,10BM09160,,CY143707,CY143706,CY143705,CY143700,CY143703,CY143702,CY143701,CY143704
A/mallard/Interior Alaska/10BM09162R0/2010(H3N8),10BM09162,1837-23839,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,OP,64.92657,148.81829,916,6-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT43,2759,6-Aug-10,N,,FALL,1142,105.3,50.5,266,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09161,10BM09162,,CY143715,CY143714,CY143713,CY143708,CY143711,CY143710,CY143709,CY143712
A/mallard/Interior Alaska/10BM09164R0/2010(H3N8),10BM09164,1837-23840,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,OP,64.92657,148.81829,916,6-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT43,2760,6-Aug-10,N,,FALL,1261,106,50.8,277,,4,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09163,10BM09164,,CY143723,CY143722,CY143721,CY143716,CY143719,CY143718,CY143717,CY143720
A/northern pintail/Interior Alaska/10BM09181R0/2010(H7N3),10BM09181,1146-21599,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92657,148.81829,916,6-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR13,457,1-Aug-10,Y,O,FALL,865,,,268,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09181,10BM09182,,CY141733,CY141732,CY141731,CY141726,CY141729,CY141728,CY141727,CY141730
A/northern pintail/Interior Alaska/10BM09347R0/2010(H7N3),10BM09347,1146-21541,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.95459,148.78583,1317,6-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR14,490,30-Jul-10,Y,O,FALL,714,,,252,,0,,,,Y LAKES,BAIT TRAP,,,,,,,,,,,,,,,10BM09347,10BM09348,,CY141741,CY141740,CY141739,CY141734,CY141737,CY141736,CY141735,CY141738
A/northern pintail/Interior Alaska/10BM09348R0/2010(H7N3),10BM09348,1146-21541,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.95459,148.78583,1317,6-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR14,490,30-Jul-10,Y,O,FALL,714,,,252,,0,,,,Y LAKES,BAIT TRAP,,,,,,,,,,,,,,,10BM09347,10BM09348,,CY141749,CY141748,CY141747,CY141742,CY141745,CY141744,CY141743,CY141746
A/northern pintail/Interior Alaska/10BM09481R0/2010(H7N3),10BM09481,1146-86067,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.89604,148.84413,2001,6-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT46,2831,6-Aug-10,N,,FALL,852,106.4,50.5,265,,2,,,,CRANE LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM09481,10BM09482,,CY141797,CY141796,CY141795,CY141790,CY141793,CY141792,CY141791,CY141794
A/mallard/Interior Alaska/10BM09528R0/2010(H7N3),10BM09528,1837-23879,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.92657,148.81829,947,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT46,2849,7-Aug-10,N,,FALL,1163,116.5,53,290,,0,1337,10BM21337,10BM31337,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09527,10BM09528,,CY141757,CY141756,CY141755,CY141750,CY141753,CY141752,CY141751,CY141754
A/mallard/Interior Alaska/10BM09539R0/2010(H7N3),10BM09539,1837-23885,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.92657,148.81829,947,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT47,2855,7-Aug-10,N,,FALL,1534,116.9,56.4,288,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09539,10BM09540,,CY141765,CY141764,CY141763,CY141758,CY141761,CY141760,CY141759,CY141762
A/mallard/Interior Alaska/10BM09548R0/2010(H7N3),10BM09548,1837-23889,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,OP,64.92657,148.81829,947,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT47,2859,7-Aug-10,N,,FALL,1054,111,52.6,273,,1,1343,10BM21343,10BM31343,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09547,10BM09548,,CY141773,CY141772,CY141771,CY141766,CY141769,CY141768,CY141767,CY141770
A/mallard/Interior Alaska/10BM09561R0/2010(H3N8),10BM09561,1837-23663,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.92657,148.81829,947,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR15,515,2-Aug-10,Y,O,FALL,969,,,271,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09561,10BM09562,,CY143731,CY143730,CY143729,CY143724,CY143727,CY143726,CY143725,CY143728
A/mallard/Interior Alaska/10BM09562R0/2010(H4N6),10BM09562,1837-23663,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,OP,64.92657,148.81829,947,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR15,515,2-Aug-10,Y,O,FALL,969,,,271,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09561,10BM09562,,CY143739,CY143738,CY143737,CY143732,CY143735,CY143734,CY143733,CY143736
A/mallard/Interior Alaska/10BM09563R0/2010(H7N3),10BM09563,1837-23749,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.92657,148.81829,947,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR15,516,4-Aug-10,Y,O,FALL,1137,,,288,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09563,10BM09564,,CY141781,CY141780,CY141779,CY141774,CY141777,CY141776,CY141775,CY141778
A/mallard/Interior Alaska/10BM09570R0/2010(H4N6),10BM09570,1837-23122,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.92657,148.81829,947,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR16,519,10-Jun-10,Y,O,FALL,1185,116.7,52.5,282,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09569,10BM09570,,CY143747,CY143746,CY143745,CY143740,CY143743,CY143742,CY143741,CY143744
A/mallard/Interior Alaska/10BM09818R0/2010(H7N3),10BM09818,1837-23927,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.92657,148.81829,2339,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT51,2954,7-Aug-10,N,,FALL,1382,116.1,54.5,290,,1,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09818,10BM09819,,CY141805,CY141804,CY141803,CY141798,CY141801,CY141800,CY141799,CY141802
A/northern pintail/Interior Alaska/10BM09832R0/2010(H7N3),10BM09832,1096-81002,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92657,148.81829,2339,7-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR17,561,,Y,F,FALL,787,103.8,48.2,260,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09832,10BM09833,,CY141813,CY141812,CY141811,CY141806,CY141809,CY141808,CY141807,CY141810
A/mallard/Interior Alaska/10BM09893R0/2010(H3N6),10BM09893,1837-23942,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,OP,64.89896,148.81513,1031,8-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT51,2973,8-Aug-10,N,,FALL,1111,112.7,53.7,278,,0,1365,10BM21365,10BM31365,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM09892,10BM09893,,CY136340,CY136339,CY136338,CY136333,CY136336,CY136335,CY136334,CY136337
A/mallard/Interior Alaska/10BM09896R0/2010(H3N6),10BM09896,1837-23944,,,,MALL,Anas platyrhynchos,F,A,H,HY,HY,W,M,C,64.89896,148.81513,1031,8-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT52,2975,8-Aug-10,N,,FALL,863,103.5,48.6,242,,1,1363,10BM21363,10BM31363,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM09896,10BM09897,,CY136348,CY136347,CY136346,CY136341,CY136344,CY136343,CY136342,CY136345
A/mallard/Interior Alaska/10BM10000R0/2010(H3N8),10BM10000,1837-23956,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.93499,148.81372,2033,8-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT53,3003,8-Aug-10,N,,FALL,1009,110.8,52.7,248,,0,1373,10BM21373,10BM31373,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM10000,10BM10101,,CY143811,CY143810,CY143809,CY143804,CY143807,CY143806,CY143805,CY143808
A/northern pintail/Interior Alaska/10BM10166R0/2010(H7N3),10BM10166,1096-81002,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92657,148.81829,2241,8-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR20,627,,Y,F,FALL,753,103.6,48.7,261,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10166,10BM10167,,CY141821,CY141820,CY141819,CY141814,CY141817,CY141816,CY141815,CY141818
A/mallard/Interior Alaska/10BM10173R0/2010(H4N6),10BM10173,1837-23960,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.92657,148.81829,2241,8-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT53,3018,8-Aug-10,N,,FALL,1299,118.8,54.5,294,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10172,10BM10173,,CY143819,CY143818,CY143817,CY143812,CY143815,CY143814,CY143813,CY143816
A/mallard/Interior Alaska/10BM10176R0/2010(H4N6),10BM10176,1837-23962,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,C,64.92657,148.81829,2241,8-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT53,3020,8-Aug-10,N,,FALL,1094,108.5,53.2,249,,1,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10176,10BM10177,,CY143827,CY143826,CY143825,CY143820,CY143823,CY143822,CY143821,CY143824
A/northern pintail/Interior Alaska/10BM10298R0/2010(H3N8),10BM10298,1096-81118,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89604,148.84413,1115,9-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR21,658,,Y,F,FALL,716,100.8,46.4,250,,0,,,,CRANE LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM10298,10BM10299,,CY143835,CY143834,CY143833,CY143828,CY143831,CY143830,CY143829,CY143832
A/mallard/Interior Alaska/10BM10324R0/2010(H7N3),10BM10324,1837-23584,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.93499,148.81372,1221,9-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR21,666,30-Jul-10,Y,O,FALL,977,,,278,,0,,,,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM10324,10BM10325,,CY141829,CY141828,CY141827,CY141822,CY141825,CY141824,CY141823,CY141826
A/northern pintail/Interior Alaska/10BM10476R0/2010(H7N3),10BM10476,1096-81002,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92637,148.81874,1803,9-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR23,703,,Y,F,FALL,724,104,47.8,262,,0,,,,ROCKET NET WACKY DUCK HEAD,ROCKET NET,,,,,,,,,,,,,,,10BM10476,10BM10477,,CY141837,CY141836,CY141835,CY141830,CY141833,CY141832,CY141831,CY141834
A/northern pintail/Interior Alaska/10BM10480R0/2010(H3N8),10BM10480,1096-81146,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.92637,148.81874,1803,9-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR23,705,,Y,F,FALL,700,95.8,46.5,246,,0,,,,ROCKET NET WACKY DUCK HEAD,ROCKET NET,,,,,,,,,,,,,,,10BM10480,10BM10481,,CY143843,CY143842,CY143841,CY143836,CY143839,CY143838,CY143837,CY143840
A/mallard/Interior Alaska/10BM10787R0/2010(H7N3),10BM10787,1927-10504,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,OP,64.89896,148.81513,2120,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT60,3194,10-Aug-10,N,,FALL,1340,113.5,54,275,,2,1574,10BM21574,10BM31574,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM10786,10BM10787,,CY141845,CY141844,CY141843,CY141838,CY141841,CY141840,CY141839,CY141842
A/northern pintail/Interior Alaska/10BM10790R0/2010(H7N3),10BM10790,1146-86247,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89896,148.81513,2120,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT60,3196,10-Aug-10,N,,FALL,814,98,47.8,251,,2,,,,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM10790,10BM10791,,CY141853,CY141852,CY141851,CY141846,CY141849,CY141848,CY141847,CY141850
A/northern pintail/Interior Alaska/10BM10801R0/2010(H7N3),10BM10801,1146-21863,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.89896,148.81513,2120,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR27,795,4-Aug-10,Y,O,FALL,921,,,253,,1,,,,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM10800,10BM10801,,CY141861,CY141860,CY141859,CY141854,CY141857,CY141856,CY141855,CY141858
A/northern pintail/Interior Alaska/10BM10805R0/2010(H7N3),10BM10805,1146-21639,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.89896,148.81513,2120,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR27,797,1-Aug-10,Y,O,FALL,717,,,242,,0,,,,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM10804,10BM10805,,CY141869,CY141868,CY141867,CY141862,CY141865,CY141864,CY141863,CY141866
A/northern pintail/Interior Alaska/10BM10807R0/2010(H7N3),10BM10807,1146-21955,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.89896,148.81513,2120,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR27,798,5-Aug-10,Y,O,FALL,838,,,250,,0,,,,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM10806,10BM10807,,CY141877,CY141876,CY141875,CY141870,CY141873,CY141872,CY141871,CY141874
A/northern pintail/Interior Alaska/10BM10809R0/2010(H7N3),10BM10809,1146-21666,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.89896,148.81513,2120,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR27,799,1-Aug-10,Y,O,FALL,819,,,252,,2,,,,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM10808,10BM10809,,CY141885,CY141884,CY141883,CY141878,CY141881,CY141880,CY141879,CY141882
A/mallard/Interior Alaska/10BM10811R0/2010(H7N3),10BM10811,1837-23816,,,,MALL,Anas platyrhynchos,F,A,H,HY,HY,W,M,OP,64.89896,148.81513,2120,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR27,800,5-Aug-10,Y,O,FALL,1015,,,270,,2,,,,WACKY DUCK BROWN,BAIT TRAP,,,,,,,,,,,,,,,10BM10810,10BM10811,,CY141893,CY141892,CY141891,CY141886,CY141889,CY141888,CY141887,CY141890
A/mallard/Interior Alaska/10BM10829R0/2010(H7N3),10BM10829,1927-10505,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.93499,148.81372,2221,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT60,3197,10-Aug-10,N,,FALL,1338,110.3,52.2,300,,4,,,,SAM BERRY,BAIT TRAP,,,,,,,,,,,,,,,10BM10828,10BM10829,,CY143860,CY143859,CY143858,CY143853,CY143856,CY143855,CY143854,CY143857
A/northern pintail/Interior Alaska/10BM10853R0/2010(H7N3),10BM10853,1146-86248,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.89604,148.84413,2301,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT61,3201,10-Aug-10,N,,FALL,832,111.3,50,267,,0,,,,CRANE LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM10852,10BM10853,,CY141901,CY141900,CY141899,CY141894,CY141897,CY141896,CY141895,CY141898
A/mallard/Interior Alaska/10BM10859R0/2010(H7N3),10BM10859,1927-10509,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,OP,64.89604,148.84413,2301,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT61,3204,10-Aug-10,N,,FALL,1117,113.5,54,259,,2,1588,10BM21588,10BM31588,CRANE LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM10858,10BM10859,,CY141909,CY141908,CY141907,CY141902,CY141905,CY141904,CY141903,CY141906
A/mallard/Interior Alaska/10BM10861R0/2010(H7N3),10BM10861,1927-10510,,,,MALL,Anas platyrhynchos,F,A,H,HY,HY,W,M,OP,64.89604,148.84413,2301,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT61,3205,10-Aug-10,N,,FALL,1076,106.3,52.6,259,,2,1586,10BM21586,10BM31586,CRANE LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM10860,10BM10861,,CY141917,CY141916,CY141915,CY141910,CY141913,CY141912,CY141911,CY141914
A/mallard/Interior Alaska/10BM10864R0/2010(H4N6),10BM10864,1927-10512,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.92657,148.81829,2341,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT61,3207,10-Aug-10,N,,FALL,1205,109,52.2,272,,2,1592,10BM21592,10BM31592,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10864,10BM10865,,CY143868,CY143867,CY143866,CY143861,CY143864,CY143863,CY143862,CY143865
A/mallard/Interior Alaska/10BM10876R0/2010(H7N3),10BM10876,1927-10518,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.92657,148.81829,2341,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAIT61,3213,10-Aug-10,N,,FALL,1361,109.7,52.3,269,,4,1593,10BM21593,10BM31593,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10876,10BM10877,,CY141925,CY141924,CY141923,CY141918,CY141921,CY141920,CY141919,CY141922
